# c0 + a0 * (PF / NBI) + a1 * (NBI * VPA) + a2 * (Al + O) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.326878127245486; Max AE: 1.60770269351552
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.564387534227166e+00,  8.219011096083938e-02, -2.487891425905854e+00, -7.106045715533309e-01, -1.059289883390709e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 1;  1; A^3;                                              5|4|mult; (NBI * VPA); $\left(NBI VPA\right)$; (NBI .* VPA); (newdata$NBI * newdata$VPA); NBI,VPA
# 2;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s34         , -2.302504917991390e+01, -2.283222712251271e+01,  1.478090003144594e+00,  2.139851749072846e+01,  7.954545454545454e-02,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.236523334682483e+01,  1.036655803575196e+00,  1.732551326107893e+01,  5.145631067961165e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.202684968311603e+01,  3.266187212906813e-01,  1.750201045150699e+01,  6.102236421725240e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.203390986501358e+01,  3.531495909957666e-01,  1.783021960595860e+01,  5.389830508474577e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.132205356007134e+01,  1.419667749389314e+00,  2.275889104476271e+01,  3.099415204678362e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.116997060860657e+01,  8.758796084894347e-01,  1.312573617717304e+01,  8.161434977578476e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.997917930323197e+01,  1.368793378547939e+00,  1.900392987103904e+01,  1.702127659574468e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.967434488440490e+01,  1.123356305609270e+00,  1.892017791612909e+01,  2.189054726368159e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.928911465747336e+01,  5.911563542438496e-01,  1.724947999196395e+01,  6.521739130434782e-02,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.264237431868494e+01,  9.293985973693624e-01,  1.470970794487963e+01,  7.235023041474655e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.953131483395833e+01,  1.174568436442579e+00,  2.499678662947533e+01,  0.000000000000000e+00,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.920386958472573e+01,  9.760875891627540e-01,  2.276777566631121e+01,  3.030303030303030e-02,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.024029862278797e+01,  6.699102141004497e-01,  1.794045958838094e+01,  1.098039215686274e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.828637804914938e+01,  5.542553454313331e-01,  1.943597392211439e+01,  0.000000000000000e+00,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.723977306846829e+01,  7.054977995873041e-01,  2.315623735085391e+01,  0.000000000000000e+00,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.170249321982567e+01,  6.135359833781386e-01,  2.291203750955333e+01,  3.359683794466403e-01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.034423455241152e+01,  7.740164354920850e-01,  1.752062093643161e+01,  0.000000000000000e+00,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.237260061424060e+01,  9.948458408447785e-01,  1.804629115994105e+01,  4.070351758793970e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -2.015530650903087e+01,  2.515395917343078e-01,  1.942845458567201e+01,  4.397759103641457e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.892718440763866e+01,  6.687496114257532e-01,  1.612097951965022e+01,  6.188524590163935e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.419966649738761e+01,  1.117580237155085e+00,  1.851325789436257e+01,  3.333333333333333e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -2.010618605587237e+01,  7.875229153275906e-01,  1.689461875480895e+01,  9.016393442622951e-02,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.334463044279186e+01,  1.280628866217657e+00,  1.964755610245755e+01,  5.108695652173912e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.131129032532940e+01,  5.925559493349998e-01,  1.334689135348435e+01,  3.983050847457627e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.500755039160359e+01,  9.446088604714257e-01,  1.610192479537361e+01,  5.333333333333333e-01,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -1.991667554262684e+01,  1.086945615369124e+00,  1.921391264760701e+01,  0.000000000000000e+00,  1.295033344640037e+01
s60         , -1.686951544328429e+01, -1.718279324783152e+01,  5.335302302029524e-01,  2.228128958298529e+01,  5.594405594405594e-02,  1.048032280800659e+01
s61         , -1.698686520707895e+01, -1.756445756870996e+01,  4.648362379384635e-01,  1.876165540643624e+01,  4.620462046204620e-02,  1.079565976127190e+01
s62         , -1.961666852236879e+01, -1.945250776762945e+01,  1.041298572475540e+00,  2.441188323819368e+01,  0.000000000000000e+00,  1.299883252854930e+01
s63         , -2.363642228074260e+01, -2.314917127459399e+01,  9.438404065223605e-01,  1.972568745159760e+01,  4.528301886792453e-01,  1.628810851264553e+01
s64         , -2.123215125329894e+01, -2.153798172400295e+01,  1.199061044823546e+00,  1.842402707765459e+01,  5.051546391752577e-01,  1.312514729915971e+01
s65         , -2.229595939650926e+01, -2.202880983399276e+01,  8.334584047995836e-01,  1.689970702038982e+01,  4.868421052631579e-01,  1.450854380874742e+01
s66         , -2.209517036440609e+01, -2.152554983763482e+01,  9.418791211678947e-01,  2.492852557544706e+01,  2.906403940886699e-01,  1.517719420649046e+01
s67         , -2.100952424313996e+01, -2.047589204668921e+01,  4.155252200714535e-01,  1.543440597837783e+01,  5.231316725978647e-01,  1.294673837424978e+01
s68         , -2.306714632630091e+01, -2.277194642253944e+01,  1.092895558657403e+00,  2.318211709435505e+01,  3.492063492063492e-01,  1.619168966157265e+01
s69         , -2.116954741071400e+01, -2.103321102237727e+01,  6.595879562819226e-01,  1.655417728222963e+01,  3.794466403162055e-01,  1.382629528419714e+01
s70         , -2.268552320802911e+01, -2.174695653219281e+01,  7.361822749193626e-01,  1.721351770128359e+01,  5.254237288135594e-01,  1.422727557521243e+01
s71         , -1.844586653395837e+01, -1.907759175143915e+01,  5.149793095740114e-01,  1.775608964424494e+01,  0.000000000000000e+00,  1.286009272831540e+01
s72         , -2.185924535832699e+01, -2.160004367512063e+01,  7.988555005713230e-01,  1.626150688274356e+01,  4.893617021276596e-01,  1.389870248804440e+01
s73         , -1.814705961150877e+01, -1.794202747030447e+01,  6.222313699637819e-01,  1.846718903444128e+01,  0.000000000000000e+00,  1.110820035458225e+01
s74         , -2.269683109870329e+01, -2.359753339376792e+01,  1.292648197431861e+00,  1.885902735160857e+01,  4.382022471910113e-01,  1.610214489007334e+01
s75         , -2.162544692540680e+01, -2.198187625095098e+01,  1.061121807980006e+00,  1.631828056629370e+01,  5.637254901960784e-01,  1.360487330389796e+01
s76         , -1.799713371423827e+01, -1.826959687426837e+01,  5.785312986038351e-01,  2.031644362348334e+01,  0.000000000000000e+00,  1.187926729201374e+01
s77         , -1.808839931225978e+01, -1.775712176413318e+01,  8.653833293989871e-01,  2.229416781108718e+01,  0.000000000000000e+00,  1.075533210664907e+01
s78         , -1.710463489071706e+01, -1.713145429699668e+01,  5.545745806935953e-01,  2.028348825015884e+01,  0.000000000000000e+00,  1.032654213885252e+01
s79         , -2.130172009097587e+01, -2.122270022624646e+01,  5.227374846440092e-01,  1.611737406514229e+01,  4.448398576512456e-01,  1.411475985979630e+01
s80         , -2.075517304342145e+01, -2.075251276192436e+01,  1.008255869511903e+00,  1.756983717105631e+01,  2.000000000000000e-02,  1.403962267054964e+01
s81         , -1.679587307458704e+01, -1.680677421479433e+01,  6.001881855397231e-01,  2.124044771062444e+01,  0.000000000000000e+00,  9.879901566191508e+00
s82         , -1.961963418382102e+01, -1.943846690333307e+01,  1.115636707744321e+00,  2.292407475472915e+01,  1.015228426395939e-02,  1.260779164185863e+01
s83         , -1.732943596118787e+01, -1.723965640205354e+01,  7.694340516372967e-01,  2.483690203339022e+01,  0.000000000000000e+00,  1.053245723854915e+01
s84         , -2.091958911511147e+01, -2.132682370085781e+01,  5.076203313639354e-01,  1.803735872396502e+01,  1.349480968858132e-01,  1.560159713860114e+01
s85         , -1.931803893900067e+01, -1.914231168445957e+01,  7.733978917621470e-01,  1.818258932654242e+01,  1.731601731601732e-01,  1.182534491088885e+01
s86         , -2.124992178205270e+01, -2.125124037847822e+01,  9.094791665717095e-01,  1.517651085280906e+01,  5.963302752293578e-01,  1.266431172306523e+01
s87         , -2.000999990609716e+01, -2.009264059423239e+01,  9.473782830797750e-01,  1.766570403413713e+01,  1.026785714285714e-01,  1.296666020769036e+01
s88         , -1.933594922663024e+01, -1.915869112504268e+01,  1.037700466934006e+00,  2.598012031981665e+01,  0.000000000000000e+00,  1.277466533661714e+01
s89         , -2.128477820873118e+01, -2.134244759566776e+01,  6.716692583902315e-01,  1.825342880259668e+01,  5.180722891566265e-01,  1.394607053773596e+01
s90         , -2.009844325702736e+01, -2.024866715898272e+01,  7.255650527916814e-01,  1.998991713777789e+01,  1.841004184100418e-01,  1.365830652508399e+01
s91         , -2.185233402642529e+01, -2.221029860045299e+01,  1.153555875873310e+00,  1.847086011496142e+01,  4.791666666666667e-01,  1.426784901333161e+01
s92         , -1.852873985612102e+01, -1.881526195607255e+01,  8.531187389475353e-01,  2.087138300184072e+01,  2.280701754385965e-01,  1.130834584278522e+01
s93         , -2.244477787769646e+01, -2.247707482162582e+01,  7.972140327623323e-01,  1.565333387718893e+01,  5.462555066079295e-01,  1.486698731291654e+01
s94         , -2.069748145715988e+01, -2.055080999120240e+01,  1.018579921525696e+00,  2.039513977660959e+01,  1.850000000000000e-01,  1.348214843596203e+01
s95         , -1.839144268754908e+01, -1.796973008138344e+01,  5.149023581629019e-01,  1.973397893016767e+01,  0.000000000000000e+00,  1.152998821423509e+01
s96         , -2.061908691885885e+01, -2.042384969915958e+01,  1.018322964500566e+00,  1.955012129386443e+01,  0.000000000000000e+00,  1.385401409772986e+01
s97         , -2.336181657728519e+01, -2.309135690578117e+01,  8.501796412932897e-01,  1.883864452778300e+01,  2.982456140350877e-01,  1.685155949830643e+01
s98         , -1.913590175727989e+01, -1.924906983361329e+01,  1.050082431409472e+00,  1.971830152717716e+01,  2.572815533980582e-01,  1.124957011796191e+01
s99         , -1.764848235022367e+01, -1.816328787370341e+01,  5.428235647603717e-01,  2.210951401016973e+01,  2.173913043478261e-01,  1.125455758320133e+01
s100        , -2.003395952271198e+01, -2.028729078791588e+01,  1.193826676542591e+00,  1.663191625081425e+01,  2.574257425742574e-01,  1.203667478368263e+01
s101        , -2.047737186068138e+01, -2.004717242168489e+01,  3.724452115651787e-01,  1.594006636174482e+01,  3.973509933774834e-01,  1.293711721418137e+01
s102        , -1.813404261594337e+01, -1.877925151897623e+01,  6.201785748882279e-01,  2.140590221863274e+01,  1.861313868613139e-01,  1.197914028615624e+01
s103        , -2.094885731266024e+01, -2.046758068863253e+01,  1.232748122929018e+00,  2.321463302540440e+01,  1.666666666666667e-01,  1.328383059938385e+01
s104        , -1.695125455205811e+01, -1.698448053958811e+01,  7.909910529525900e-01,  2.454689635690763e+01,  1.034482758620690e-01,  9.730178352806050e+00
s105        , -2.089913046364001e+01, -2.153703891610735e+01,  6.795689542159608e-01,  1.759139826274464e+01,  4.801762114537445e-01,  1.425862425174133e+01
s106        , -2.193421435204462e+01, -2.202171637577547e+01,  1.017194508046695e+00,  1.663016456359553e+01,  4.384236453201971e-01,  1.423241023366987e+01
s107        , -1.938858975045087e+01, -1.928019738894125e+01,  1.011959219005111e+00,  2.747722557421466e+01,  0.000000000000000e+00,  1.317548290753482e+01
s108        , -2.184761912256448e+01, -2.206958456131238e+01,  9.156123275592406e-01,  1.584376251276820e+01,  5.377358490566038e-01,  1.408474671757332e+01
s109        , -1.765266017099491e+01, -1.822367049004664e+01,  5.130131141241472e-01,  1.826722920894636e+01,  0.000000000000000e+00,  1.172185806929322e+01
s110        , -2.222643790681205e+01, -2.168493362862262e+01,  2.938827010936310e-01,  1.962650609572772e+01,  5.243902439024390e-01,  1.539642090794856e+01
s111        , -2.198367498730207e+01, -2.165402281648689e+01,  1.015442496951398e+00,  1.901318753105234e+01,  4.264705882352941e-01,  1.403630411474320e+01
s112        , -2.341727175416096e+01, -2.334971937070213e+01,  9.947059062094259e-01,  1.426467835533145e+01,  7.101449275362318e-01,  1.492583563625486e+01
s113        , -2.064750776227555e+01, -2.064302050657227e+01,  1.172752553472776e+00,  1.902803706478318e+01,  2.769230769230769e-01,  1.279254945745329e+01
s114        , -2.335281852671257e+01, -2.330765947773840e+01,  7.909516043358269e-01,  1.509070256973726e+01,  5.594713656387665e-01,  1.593827111771199e+01
s115        , -2.467653405274963e+01, -2.482742487784610e+01,  8.396861710704765e-01,  1.625740907813792e+01,  4.511627906976744e-01,  1.848381815774889e+01
s116        , -2.119630992652875e+01, -2.188104031007593e+01,  7.870781361690424e-01,  1.288573581846462e+01,  8.418803418803418e-01,  1.269541427842483e+01
s117        , -1.681518237222159e+01, -1.695436771415779e+01,  5.039787707507953e-01,  2.046631421526048e+01,  2.380952380952381e-02,  1.012650943718846e+01
