sample_id,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,Na-Na,Na-Na-max,Na-Na-avg,bottleneck_min,bottleneck_avg,poly_dist_max,poly_dist_std,poly_dist_avg,poly_dist_avg_fixed,face-area-max,face-area-avg,face-area-min,face-area-count,pockets-per-ion,pockets-per-volume,paths-per-ion,paths-per-volume,E_T
s1,2.653957822341039,14.633847712797454,0.3401421168257149,23.177307938187894,2.0514013940455293,2.805802919708029,0.0,0.0,0.0,0.6313868613138686,0.0,0.12773722627737227,0.0,0.0,0.17153284671532848,0.0,0.06934306569343066,0.0,0.0,2.6971205306858037,4.698974316093115,3.4542615095658187,2.4428769519988434,4.471080394254086,0.5623303589265172,0.07503429439863338,0.3851971018417861,0.3851971018417861,10.973039588017949,2.521378495397306,2.5549941025793312e-06,24.78405485524708,5.371428571428571,0.04688660155054669,45.34285714285714,0.3957927481953064,14.123209513764964
s2,2.8548809979266823,18.856722019647552,0.36900415891111077,30.285038395191492,3.251245993436864,2.6508679245283018,0.0,0.0,0.0,0.4679245283018868,0.0,0.18490566037735848,0.0,0.0,0.13584905660377358,0.0,0.05660377358490566,0.15471698113207547,0.0,2.826186487941879,4.439870061882528,3.400027861346096,2.4512679989812307,4.376743163601428,0.7481877843294252,0.12754273884234585,0.37597387633853996,0.37597387633853996,11.77736635202651,2.837638352641486,8.278833643588525e-07,29.00826512304658,1.1734693877551021,0.011506831985399734,5.48469387755102,0.05378193210567267,16.44066438572554
s3,1.8271309747610411,25.551037085977804,0.3390892607546219,44.860599463930484,2.8138292601296966,2.2230000000000003,0.11304347826086956,0.0,0.30434782608695654,0.0,0.0,0.20869565217391303,0.10869565217391304,0.0,0.0,0.26521739130434785,0.0,0.0,0.0,2.9806893970629145,5.4596899167145905,3.9745976862827037,2.866112977046136,5.228186653050527,0.4180961942069896,0.08186930894081618,0.07738705545540749,0.08075171004042521,15.033403774624515,3.383426140560227,2.368493632744814e-11,39.47400904384479,2.5833333333333335,0.021100139026391188,14.566666666666666,0.11897755812300578,10.62347521346189
s4,1.8957755081654097,26.401584933872623,0.2489657494249539,42.46519986351804,4.240583283028147,2.2344569288389513,0.0,0.0,0.6217228464419475,0.0,0.0,0.10112359550561797,0.0,0.24344569288389514,0.033707865168539325,0.0,0.0,0.0,0.0,3.7534097509820605,6.453750896058303,4.607185791018079,3.2174938959499184,4.920098503084249,0.27249142505208535,0.057804138208237266,0.11600986784268008,0.11600986784268008,12.877547033198338,3.4443356743536517,5.3453594798595756e-06,40.58767222111217,8.425925925925926,0.03227305963743333,51.56481481481482,0.19750403200095187,12.561388838669885
s5,2.5848936397301645,21.500606774061463,0.3603967288325272,34.72147677798745,3.9638952699262844,2.586269230769231,0.0,0.0,0.0,0.4076923076923077,0.0,0.21923076923076923,0.0,0.0,0.16153846153846155,0.0,0.0,0.21153846153846154,0.0,2.9287175885694885,4.569941666602946,3.4929754125316874,2.284763326082288,4.427358439652934,0.7786703442683791,0.19065665774112397,0.325544000447842,0.3638432946181763,15.09098204509995,3.1659058593845337,4.092371995635271e-09,35.067899134662326,2.1052631578947367,0.02146629936487495,13.359649122807017,0.13622155805293565,13.347472272939923
s6,2.371426498408645,14.266431345592876,0.38953970854465964,23.072870447810686,2.082610091793765,2.751297709923664,0.0,0.0,0.0,0.6183206106870229,0.0,0.16793893129770993,0.0,0.0,0.21374045801526717,0.0,0.0,0.0,0.0,2.882431089797915,4.085444975960415,3.3804388577640507,2.5044015675395035,4.371234194880638,0.5610470921185245,0.0843480708935893,0.3779116394913297,0.3779116394913297,10.35642918713169,2.458773844019737,4.497406764214744e-06,24.008806553182456,3.0568181818181817,0.03598368549150444,19.21590909090909,0.22620227571053536,13.224775378419034
s7,2.8713738364421153,15.019865185062612,0.4805963160809025,26.846530685111937,1.5398586323589005,2.538502202643172,0.0,0.0,0.0,0.5066079295154186,0.0,0.18061674008810572,0.15418502202643172,0.0,0.0,0.05286343612334802,0.10572687224669604,0.0,0.0,2.7630562979791664,4.308789208592205,3.4206694590895066,2.5717846516634526,4.575949480871699,0.6289888673586531,0.10925450908862427,0.3449130602758376,0.3449130602758376,9.886061002284764,2.2731396492594924,1.674043328792812e-07,24.72788230554392,1.9414634146341463,0.023346467403733875,10.536585365853659,0.126704446211219,12.585542461365678
s8,2.79434122173169,25.637818364491373,0.27459193891392325,41.0205093831862,5.346387746968972,2.27625,0.0,0.0,0.625,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,3.5928677685671118,6.678413500800719,4.80133311181141,3.32970492269241,4.579869092081788,0.2229100601280844,0.05059506642016903,0.09268620819597542,0.09268620819597542,10.799851249316253,3.3194965447241036,1.0610166792444372e-05,38.56046123200643,5.654761904761905,0.018380275264872653,35.04761904761905,0.11391901132586335,15.166750614248818
s9,2.6778383658388454,14.413666385809208,0.6824233068359701,27.875486878215924,2.749219723904794,2.378390243902439,0.0,0.0,0.0,0.4682926829268293,0.0,0.3463414634146341,0.0,0.0,0.09268292682926829,0.04878048780487805,0.04390243902439024,0.0,0.0,2.5923071733145093,3.5004955453412085,3.035151084124451,2.4206381381556583,4.392407780767412,0.6161481374363929,0.09616110243147595,0.3782415454990412,0.3782415454990412,9.991007960759205,2.1238063144632653,2.0655199037444005e-07,17.4728605222126,0.1323943661971831,0.0031812626509608965,0.2676056338028169,0.00643021174130394,15.076001687438636
s10,2.4433770433095563,23.638548935284895,0.5347046365926674,48.80216554381397,5.0529396569584035,1.9053645833333333,0.0,0.0,0.40625,0.0,0.0,0.390625,0.0,0.0,0.0,0.057291666666666664,0.125,0.020833333333333332,0.0,2.8299739946750777,4.0857374494392635,3.426812595666848,1.996128076040746,5.112117136530066,0.3561391222007734,0.07193939791409239,0.0913488365189688,0.0913488365189688,11.661780161931304,2.924788301262471,5.444729136486846e-09,31.072973373015767,0.13777777777777778,0.0022767659974301134,0.4177777777777778,0.006903742056723569,12.228058139000456
s11,1.830966699328553,25.75893630665174,0.2238020835493611,38.83453849276935,1.8880141613340506,2.5446127946127945,0.0,0.0,0.4107744107744108,0.0,0.16498316498316498,0.09090909090909091,0.0,0.24579124579124578,0.0,0.08754208754208755,0.0,0.0,0.0,3.564271543915988,7.143108861372175,4.698705642076574,3.0504937585743472,5.083511489697452,0.24940784641412067,0.07284812373539344,0.09783261142487631,0.09874693489613684,12.806120218320517,3.496772030658555,6.787662143907356e-06,38.311956461230636,8.87037037037037,0.031305535942843674,50.101851851851855,0.17682072545587382,13.275070700898683
s12,2.105968774106123,22.55455747464971,0.32520201411601857,40.17530550171979,1.5619267096780864,2.134210526315789,0.0,0.0,0.5087719298245614,0.05263157894736842,0.0,0.09649122807017543,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.0,3.5470404106833415,5.899924969056881,4.414271248255304,2.440375142355674,7.202147888301679,0.33256325803483194,0.04482723729746356,0.00643022681551661,0.09305721115804044,12.802925646978027,3.079734018606523,1.2763107589874817e-08,38.52126546921191,3.494949494949495,0.014951832648011362,17.232323232323232,0.07372204190031036,11.284716003085512
s13,2.0757922308344154,25.91403718130974,0.22422205575933948,43.362822216724965,5.215919025804542,2.3274900398406375,0.3147410358565737,0.0,0.4342629482071713,0.0,0.0,0.08764940239043825,0.0,0.0,0.0,0.0,0.0,0.16334661354581673,0.0,3.4677091177345565,6.52506073805805,4.390679606417384,2.8579661897785513,5.538640966869496,0.2681988040721139,0.06429653932451315,0.09003621213941702,0.09003621213941702,14.803097144948863,3.3116909797756895,1.7073840870717105e-05,37.93094562803379,9.125,0.030863612304670072,57.11363636363637,0.193176233428732,9.46682840188505
s14,2.687932461524103,28.856578767542644,0.27936191506645613,45.41923048619138,4.890264689108163,2.3243984962406015,0.0,0.0,0.42857142857142855,0.0,0.0,0.13157894736842105,0.0,0.0,0.0,0.07894736842105263,0.23308270676691728,0.12781954887218044,0.0,3.1623520646903267,5.971831422849625,4.096005973116068,1.9740815635213187,5.4841597841741185,0.29926554224800117,0.07776057262670263,0.08192919939745243,0.08311657909886477,13.19972599514899,3.7289800958286325,1.0481745088435606e-06,42.96885468525203,3.2785714285714285,0.014949484515081523,16.77857142857143,0.07650618545953486,12.01349596978806
s15,2.453255137373183,21.140732948381665,0.5937263263724936,44.10002356974241,1.8413280486988144,1.9966494845360825,0.0,0.0,0.36597938144329895,0.0,0.1134020618556701,0.41237113402061853,0.0,0.0,0.0,0.0,0.10824742268041238,0.0,0.0,2.5527898393948445,4.0909461331393455,3.2284908780090857,2.08086929754604,5.084133587678158,0.35817855029239454,0.0755940031156608,0.09467829418004933,0.09467829418004933,10.49369966682505,2.6825420753841303,3.93264806571802e-07,26.21456862784396,0.08125,0.0015848624889677765,0.15416666666666667,0.003007174979067063,14.683229092202485
s16,2.5090302212384055,13.524345404733316,0.5849090311240057,24.25795286880736,2.1188404764542432,2.5412389380530973,0.0,0.0,0.0,0.5575221238938053,0.0,0.2743362831858407,0.0,0.0,0.168141592920354,0.0,0.0,0.0,0.0,2.6061588511274527,3.575146974198267,3.1214474854670535,2.42103402655802,4.274844985229073,0.6468962636595266,0.07808426496286965,0.3761455065514202,0.3761455065514202,9.757886060353082,2.1113940862591,3.7144018396538716e-10,19.629689624828288,0.7311827956989247,0.014831769264874855,4.630824372759856,0.09393453867754074,14.199065153243735
s17,1.9395930019350616,23.503576411880665,0.33399734063865505,39.49240390295594,1.661334612512551,2.331578947368421,0.0,0.0,0.44129554655870445,0.0,0.15384615384615385,0.19433198380566802,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,3.2073414934819473,5.300013472644137,4.013007914101831,3.160717626374302,5.048682962253717,0.37556561942285416,0.06733891637709034,0.11374786219313719,0.11374786219313719,14.138835384323672,3.1722322541427537,3.3076735926231524e-07,37.64068851338993,2.3541666666666665,0.019464692118568674,14.166666666666666,0.11713266053651947,11.42800033320397
s18,2.1728218599919855,18.551866531978558,0.35070497678424095,31.525199771124377,2.018358763625744,2.447407407407408,0.0,0.0,0.24279835390946503,0.345679012345679,0.0,0.13991769547325103,0.1440329218106996,0.03292181069958848,0.09465020576131687,0.0,0.0,0.0,0.0,2.9927109574187902,5.750048295349311,3.9173325059451023,2.3525175736913204,4.706268123711693,0.6603964584826777,0.1809193644251432,0.21482303268851244,0.17355922738232196,13.60272050891364,2.7975549160676003,1.2426970517541724e-07,33.62453708704192,2.9647058823529413,0.022359734752283984,22.270588235294117,0.16796419796060946,14.062565902991167
