# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (Al - B) + a2 * (face-area-avg * E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.320925845880695; Max AE: 1.55841103710651
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -3.609975806712640e+00, -1.745169963425752e+00,  1.029818988069347e-01, -9.387410739655863e-01, -1.288291969811040e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         14|8|sub; (Al - B); $\left(Al - B\right)$; (Al - B); (newdata$Al - newdata$B); Al,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.207971723326055e+01, -2.733445324275395e-01,  0.000000000000000e+00,  3.560995675399762e+01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.296401711555805e+01, -2.734949098882034e-01,  0.000000000000000e+00,  4.665265980384177e+01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.770072483578054e+01, -4.004859851472701e-01, -4.347826086956524e-03,  3.594374374082060e+01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.915602654739438e+01, -2.945191678607162e-01,  0.000000000000000e+00,  4.326563969645847e+01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.038877049613598e+01, -2.922450284908473e-01,  0.000000000000000e+00,  4.225684067687310e+01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.146249720801038e+01, -2.955339758367886e-01,  0.000000000000000e+00,  3.251673179349294e+01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.161344249862667e+01, -2.444664013271263e-01,  1.541850220264317e-01,  2.860869557636923e+01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.076475048705348e+01, -3.244057028467022e-01,  0.000000000000000e+00,  5.034597625869112e+01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.307150875730413e+01, -3.064153012895160e-01,  0.000000000000000e+00,  3.201850758064101e+01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.931224644461050e+01, -3.785508693087064e-01,  0.000000000000000e+00,  3.576448139210588e+01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.907247110492844e+01, -4.132697209907581e-01,  0.000000000000000e+00,  4.641989593191737e+01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.956012116143747e+01, -2.724780451998594e-01,  3.421052631578947e-01,  3.475392376501588e+01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.672286289712287e+01, -3.515463174845685e-01, -3.147410358565737e-01,  3.135121022560702e+01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.814731552543333e+01, -3.877516797588378e-01,  0.000000000000000e+00,  4.479808735265717e+01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.104539077906908e+01, -4.335178691046795e-01,  0.000000000000000e+00,  3.938837984233749e+01,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.253261574930490e+01, -3.090157889164381e-01,  0.000000000000000e+00,  2.997982219496648e+01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.849224620158783e+01, -3.837363867847350e-01,  0.000000000000000e+00,  3.625227125734377e+01,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.135626038456771e+01, -3.468838275151391e-01,  1.440329218106996e-01,  3.934080037443756e+01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.180029423726974e+01, -3.846333391097261e-01, -1.963470319634703e-01,  2.814056448908629e+01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.931170864330415e+01, -3.015319803111981e-01, -2.371541501976284e-02,  4.647645945865150e+01,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.270825647875762e+01, -3.539791786674769e-01,  2.021276595744681e-01,  3.568963600668561e+01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.683547201878592e+01, -3.394672541777687e-01, -2.800000000000000e-02,  3.946028318806370e+01,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.300084070527809e+01, -3.953092420358914e-01, -4.166666666666666e-02,  3.526445158755273e+01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.002124316604475e+01, -3.776295648241594e-01,  0.000000000000000e+00,  3.738779836801103e+01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.293529924580429e+01, -2.785004079954949e-01,  5.649717514124297e-03,  2.682807295193117e+01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.788051231406537e+01, -3.301165495789156e-01,  7.346938775510205e-02,  4.620556073517253e+01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -2.015745728675215e+01, -3.641088945052262e-01,  0.000000000000000e+00,  3.736615528610256e+01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.722261024788518e+01, -4.091986651180588e-01,  5.862068965517241e-02,  3.666234647258013e+01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.337252487151969e+01, -3.152607683589675e-01, -7.909604519774011e-02,  2.859111699459839e+01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.707024155766687e+01, -3.792587275624338e-01, -2.658227848101266e-01,  3.295627441066929e+01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.960671052220856e+01, -3.329103626147117e-01,  1.894736842105263e-01,  3.399611636219903e+01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.109881527949624e+01, -4.560831736502798e-01,  0.000000000000000e+00,  4.025447112845632e+01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.322503965406528e+01, -3.894824756460000e-01, -2.063492063492063e-01,  3.220675992277420e+01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.244466440484240e+01, -3.227030048160777e-01,  7.954545454545454e-02,  4.455272882346433e+01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.255375811544880e+01, -2.994700044061031e-01,  0.000000000000000e+00,  2.765019900405555e+01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.159161264869935e+01, -2.432166247466915e-01,  0.000000000000000e+00,  4.600628365664067e+01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.183943575980133e+01, -2.755059157063177e-01, -5.423728813559322e-02,  4.372660140687414e+01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.096684526595694e+01, -3.732926497894007e-01,  1.228070175438596e-01,  3.374403886463284e+01,  1.352045780437927e+01
