# FEAT_ID     Score                   Feature Expression
0             0.891729019535084211    ((S + B) + (AAV / E_T))
1             0.892034497026669815    ((AAV / E_T) - (Al - S))
2             0.892969913863520981    ((O - WE) * (AAV - E_T))
3             0.893075266823802227    ((AAV / E_T) - (Al - B))
4             0.893455706961217788    ((AAV - E_T) * exp(B))
5             0.894046709395992623    ((O - B) - (AAV / E_T))
6             0.894727382979110919    ((O + PF) - (AAV / E_T))
7             0.894860754290306981    ((AAV - E_T) + (B * AAV))
8             0.895482632878638607    ((AAV / E_T) - (Al + O))
9             0.896832330823227553    ((AAV - E_T) * (B + WE))
#-----------------------------------------------------------------------
