sample_id,E_T,AAV,cub_root_V,Na-Na,face-area-avg,face-area-count,ln_D
s1,14.123209513764964,14.633847712797454,25.218719343339046,2.6971205306858037,2.521378495397306,24.78405485524708,-22.44947812336508
s2,16.44066438572554,18.856722019647552,27.138802971719223,2.826186487941879,2.837638352641486,29.00826512304658,-22.98888400764099
s3,10.62347521346189,25.551037085977804,30.858072203381134,2.9806893970629145,3.383426140560227,39.47400904384479,-17.552712466234308
s4,12.561388838669885,26.401584933872623,30.4368999885941,3.7534097509820605,3.4443356743536517,40.58767222111217,-19.17258847351942
s5,13.347472272939923,21.500606774061463,28.172670673156876,2.9287175885694885,3.1659058593845337,35.067899134662326,-20.000940917037838
s6,13.224775378419034,14.266431345592876,24.63535800013767,2.882431089797915,2.458773844019737,24.008806553182456,-21.795324630315818
s7,12.585542461365678,15.019865185062612,25.73676549186854,2.7630562979791664,2.2731396492594924,24.72788230554392,-21.569805033820113
s8,15.166750614248818,25.637818364491373,29.565180367321513,3.5928677685671118,3.3194965447241036,38.56046123200643,-20.706803990142678
s9,15.076001687438636,14.413666385809208,24.537639241295448,2.5923071733145093,2.1238063144632653,17.4728605222126,-23.1167821087172
s10,12.228058139000456,23.638548935284895,30.085536762672614,2.8299739946750777,2.924788301262471,31.072973373015767,-19.55558688693647
s11,13.275070700898683,25.75893630665174,31.278658751023155,3.564271543915988,3.496772030658555,38.311956461230636,-19.292320320847477
s12,11.284716003085512,22.55455747464971,28.496655386308532,3.5470404106833415,3.079734018606523,38.52126546921191,-19.724203045459767
s13,9.46682840188505,25.91403718130974,29.63167921422057,3.4677091177345565,3.3116909797756895,37.93094562803379,-16.497714345530376
s14,12.01349596978806,28.856578767542644,31.313298832371682,3.1623520646903267,3.7289800958286325,42.96885468525203,-18.142842377157372
s15,14.683229092202485,21.140732948381665,29.08646928728332,2.5527898393948445,2.6825420753841303,26.21456862784396,-21.409887452724632
s16,14.199065153243735,13.524345404733316,23.95957272478984,2.6061588511274527,2.1113940862591,19.629689624828288,-22.71802967642396
s17,11.42800033320397,23.503576411880665,30.732670736868833,3.2073414934819473,3.1722322541427537,37.64068851338993,-18.45283706311921
s18,14.062565902991167,18.551866531978558,28.24801681281742,2.9927109574187902,2.7975549160676003,33.62453708704192,-21.063708819965775
s19,14.12458121298059,12.378182947665053,23.84278625566677,2.6098055569190888,1.9923114225308793,13.945711794351723,-21.664409036968618
s20,13.150520325861455,27.526439760099983,30.3140190212362,3.4556471804096254,3.534191675081644,42.85265581994504,-19.575243739400413
s21,15.04806233776153,16.963280573943894,25.98225224378,2.639504314970135,2.3717097394743125,19.485002233986002,-22.300123292835202
s22,9.896851008472128,30.86599480330913,31.36847648487434,3.5490573126030394,3.9871554249209176,48.169304740579165,-17.091752304261984
s23,15.927741754371858,13.897886362273395,24.66744511632828,2.660071353685351,2.214027081263627,17.24528354806313,-22.71630669020732
s24,12.81057956035353,19.301767605055343,28.46568653310531,2.9067399859848484,2.918509517221191,32.789926305616056,-19.975934617610072
s25,14.276915057556574,12.982801393045792,23.978994977715896,2.353700098454137,1.8791225445956157,6.646953176850578,-22.28124530569044
s26,11.525462648428528,32.06251242680661,33.99209092932126,3.1715448233507155,4.00899834953459,48.630679030442636,-18.065022398651873
s27,13.143331003170026,21.331473482036472,28.971783799679528,2.943185142039422,2.842974530359941,31.88894080658613,-20.174090095940016
s28,10.109436011511418,28.9324867189732,32.256302546127934,3.290141628137717,3.6265471615660285,41.277677622496135,-16.589384250285384
s29,15.268891202232082,12.887573026810156,23.920222699150354,2.4374668909415007,1.8725077424363863,7.275031785998616,-22.62132344831001
s30,10.028582542820041,24.866915271240646,30.887310100317766,3.2635654110819456,3.286234547101008,37.813667543708675,-16.97997334312175
s31,11.725253056243329,23.03461619467093,29.723180391010494,2.756111174268261,2.8993929767764945,31.073318778463072,-19.64904728113367
s32,14.921927957424133,20.36387730567396,28.231952624811534,2.6491732148286147,2.6976722608038353,27.211395413124222,-21.510596527150504
s33,16.01885063327922,13.66937197972066,24.933727312476844,2.577876633175314,2.0105537319802798,14.26310740775077,-22.89264810431292
s34,16.16633110132655,22.047249019345504,28.554382657071404,2.7880569067999774,2.755896099382036,22.48696537508562,-23.0250491799139
s35,13.972272785511247,13.382908321710465,23.97705884843304,2.510313795191973,1.9789335227356735,14.922891737713154,-22.440613855914414
s36,14.649057033822748,18.06793819123829,28.281621673208548,3.3581176518018694,3.1405628055388277,31.989031968709625,-22.39655424600443
s37,14.959206900449049,18.141987536150367,27.766573566317383,3.0414932355340243,2.923056128434292,29.92482295252502,-22.26102540809307
s38,13.33332330145529,18.52753968011224,26.68834875866202,2.5042818965274702,2.5308048190018604,14.415006745069737,-21.024363773527753
s39,11.128341113904973,14.005353817250128,24.99518280850433,2.8591589035823124,2.187796564212342,22.41981917412146,-21.416611048330665
s40,11.797590010508499,22.729264512488818,29.487061402549838,2.7395623312767485,2.825988928422307,27.322258104895056,-19.902759354684093
s41,11.728773296739408,24.294359126209045,29.010630633664817,2.908927503784149,3.089038292586401,35.3136512436137,-19.523114086482373
s42,12.703128349408328,25.6030761193689,30.461672194462277,3.6231291880974754,3.2812847074708213,39.026319135959035,-18.621753792724025
s43,13.62268239225422,13.731089122802647,24.606220306758903,2.642927939866189,2.0399749360478006,19.90427686831363,-22.578210448908045
s44,12.883993170367136,25.743871100383817,30.845577183869434,2.8542047888144206,3.114800309761233,32.97898219313799,-19.848679028795786
s45,12.465939195782735,23.281395603902403,30.24185896715282,2.9867235291540735,2.978146089147606,33.616552748986926,-19.282641992445825
s46,13.682323405621235,23.91232874817072,29.000624371469616,3.386958455909055,3.1373421888676662,36.83608190971587,-20.070960626583393
s47,11.85448877277465,22.641981698155252,29.484037436090784,3.121653828741352,3.0998574534222487,31.048999418796363,-18.428827441865636
s48,10.478986889272328,31.75218978868913,32.04137506777789,3.445273270732967,4.2075861328886655,48.96906455298017,-17.12958329507449
