sample_id,E_T,rho,AAV,PF,VPA,NBI,SBI,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,cub_root_V,Na-Na,Na-Na-max,Na-Na-avg,bottleneck_min,bottleneck_avg,poly_dist_max,poly_dist_std,poly_dist_avg,poly_dist_avg_fixed,face-area-max,face-area-avg,face-area-min,face-area-count,pockets-per-ion,pockets-per-volume,paths-per-ion,paths-per-volume,ln_D
s1,14.123209513764964,0.8237295187368368,-1.1837717020948668,0.3401421168257149,-1.6297414821043423,0.6585416342693257,0.32102036987048566,2.0514013940455293,2.805802919708029,0.0,0.0,0.0,0.6313868613138686,0.0,0.12773722627737227,0.0,0.0,0.17153284671532848,0.0,0.06934306569343066,0.0,0.0,-1.1711039746825085,-0.8704565357644342,-0.2591001110525122,-0.4740234494738752,-0.33155621768321203,-0.7945892211419883,0.5623303589265172,0.07503429439863338,0.3851971018417861,0.3851971018417861,-0.7279987794086361,-0.6310063749131175,-0.01400896469210762,24.78405485524708,5.371428571428571,1.853828520009215,45.34285714285714,1.881513331761286,-22.44947812336508
s2,16.44066438572554,1.3911235862156104,-0.4279047013646754,0.36900415891111077,-0.8450735420364613,0.6494687862267433,0.19975996511423472,3.251245993436864,2.6508679245283018,0.0,0.0,0.0,0.4679245283018868,0.0,0.18490566037735848,0.0,0.0,0.13584905660377358,0.0,0.05660377358490566,0.15471698113207547,0.0,-0.45990810868707704,-0.46358691563878224,-0.49022476869882137,-0.584819731207542,-0.31107310255283627,-0.9541117227184711,0.7481877843294252,0.12754273884234585,0.37597387633853996,0.37597387633853996,-0.37657420992421525,-0.08203576446244078,-0.20845145520521483,29.00826512304658,1.1734693877551021,-0.3597249033617807,5.48469387755102,-0.3998140882527937,-22.98888400764099
s3,10.62347521346189,-1.5111760827779965,0.7703341007995106,0.3390892607546219,0.7640161031500143,0.4812376951876953,0.17102590480756955,2.8138292601296966,2.2230000000000003,0.11304347826086956,0.0,0.30434782608695654,0.0,0.0,0.20869565217391303,0.10869565217391304,0.0,0.0,0.26521739130434785,0.0,0.0,0.0,0.917703190625674,0.023470564728873843,0.4194689587434141,0.5889939857201193,0.7015916417630247,0.48566337400897225,0.4180961942069896,0.08186930894081618,0.07738705545540749,0.08075171004042521,1.0460460492339003,0.8653543270942704,-0.3016539895303469,39.47400904384479,2.5833333333333335,0.24048527050421478,14.566666666666666,0.035062711840410744,-17.552712466234308
s4,12.561388838669885,-1.3173283551330315,0.9225766266362139,0.2489657494249539,0.49957258190716763,0.4105290357033963,0.09680956800127805,4.240583283028147,2.2344569288389513,0.0,0.0,0.6217228464419475,0.0,0.0,0.10112359550561797,0.0,0.24344569288389514,0.033707865168539325,0.0,0.0,0.0,0.0,0.7617016844405637,2.459406760039142,1.306185405103418,1.8813357730487175,1.5593363107692348,-0.03530795458181958,0.27249142505208535,0.057804138208237266,0.11600986784268008,0.11600986784268008,0.10411416143995274,0.9710823959051844,0.3001374194354944,40.58767222111217,8.425925925925926,0.9395247773072308,51.56481481481482,0.5588607604022077,-19.17258847351942
s5,13.347472272939923,0.6286967288435793,0.04533345217292657,0.3603967288325272,-0.35530666242210385,0.6560883231090237,0.16551605893493365,3.9638952699262844,2.586269230769231,0.0,0.0,0.0,0.4076923076923077,0.0,0.21923076923076923,0.0,0.0,0.16153846153846155,0.0,0.0,0.21153846153846154,0.0,-0.07696518662854242,-0.1403662085653324,-0.3741990584992538,-0.39493313117851936,-0.7175223086999646,-0.8685222327805123,0.7786703442683791,0.19065665774112397,0.325544000447842,0.3638432946181763,1.0712030125713432,0.4877779802794841,-0.30119592646153326,35.067899134662326,2.1052631578947367,0.2633942798255153,13.359649122807017,0.15008600356157054,-20.000940917037838
s6,13.224775378419034,0.02587931251294889,-1.2495368391361492,0.38953970854465964,-1.6412710063224976,0.6734456153281183,0.32336615383827105,2.082610091793765,2.751297709923664,0.0,0.0,0.0,0.6183206106870229,0.0,0.16793893129770993,0.0,0.0,0.21374045801526717,0.0,0.0,0.0,0.0,-1.3871800713348013,-0.28628051914353964,-0.806376955757992,-0.6248389596939782,-0.18137045586867137,-0.963427286312686,0.5610470921185245,0.0843480708935893,0.3779116394913297,0.3779116394913297,-0.9974067543355569,-0.7396768650071568,0.20467276032671303,24.008806553182456,3.0568181818181817,1.1716819864434775,19.21590909090909,0.7502877188518524,-21.795324630315818
s7,12.585542461365678,1.4376982966852512,-1.1146770883818302,0.4805963160809025,-1.2246724559369024,0.589379461602964,0.38274907138722014,1.5398586323589005,2.538502202643172,0.0,0.0,0.0,0.5066079295154186,0.0,0.18061674008810572,0.15418502202643172,0.0,0.0,0.05286343612334802,0.10572687224669604,0.0,0.0,-0.9792205203457576,-0.6625995519269627,-0.6071507428902334,-0.5426501122701192,-0.016883774665754685,-0.6172575471088882,0.6289888673586531,0.10925450908862427,0.3449130602758376,0.3449130602758376,-1.2029189220958232,-1.0619046624457986,-0.28280985329200753,24.72788230554392,1.9414634146341463,0.3810279572090106,10.536585365853659,0.08660365978049345,-21.569805033820113
s8,15.166750614248818,1.220163169332842,0.7858673845165227,0.27459193891392325,0.34008393639717016,0.4170919110426776,0.07801377879468985,5.346387746968972,2.27625,0.0,0.0,0.625,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.43881814864416685,1.9533116069245935,1.5065876245313432,2.2779677894918207,1.833251042088043,-0.6106295574899993,0.2229100601280844,0.05059506642016903,0.09268620819597542,0.09268620819597542,-0.8036678234979332,0.7543839701294754,0.8928627284017128,38.56046123200643,5.654761904761905,0.07031559968920195,35.04761904761905,0.001320499691421309,-20.706803990142678
s9,15.076001687438636,0.891166630803825,-1.2231827257612424,0.6824233068359701,-1.111079384091102,0.6846568467885572,0.24903678699646453,2.749219723904794,2.378390243902439,0.0,0.0,0.0,0.4682926829268293,0.0,0.3463414634146341,0.0,0.0,0.09268292682926829,0.04878048780487805,0.04390243902439024,0.0,0.0,-1.423374941335033,-1.2008718660683149,-1.3281601171505755,-1.3302423891732285,-0.3858426714796312,-0.9276231465829652,0.6161481374363929,0.09616110243147595,0.3782415454990412,0.3782415454990412,-1.1570657423299595,-1.3211206523538217,-0.2784025111033093,17.4728605222126,0.1323943661971831,-0.880618417600901,0.2676056338028169,-0.7156660232505526,-23.1167821087172
s10,12.228058139000456,0.2290630030436654,0.42801117632805913,0.5347046365926674,1.1991508561141055,0.4698997058276752,0.09299531316994382,5.0529396569584035,1.9053645833333333,0.0,0.0,0.40625,0.0,0.0,0.390625,0.0,0.0,0.0,0.057291666666666664,0.125,0.020833333333333332,0.0,0.631557314661738,-0.4516471178910126,-0.806116065280236,-0.5301000310328409,-1.422100541868625,0.2893919814313145,0.3561391222007734,0.07193939791409239,0.0913488365189688,0.0913488365189688,-0.4270758578988682,0.0692409764812211,-0.30104367467783966,31.072973373015767,0.13777777777777778,-0.9372087144982278,0.4177777777777778,-0.7125074164406101,-19.55558688693647
