sample_id,E,T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s1,0.4148104871669471,0.04308666631,2.4151928450639395,19.643417918799607,0.30060764243645416,30.092044471352615,3.2705856979734174,2.779513888888889,0.0,0.0,0.0,0.4583333333333333,0.0625,0.15625,0.0,0.0,0.1909722222222222,0.0,0.0,0.13194444444444445,0.0,-15.755912113046147
s2,0.4148104871669471,0.060321332834,2.4151928450639395,19.643417918799607,0.30060764243645416,30.092044471352615,3.2705856979734174,2.779513888888889,0.0,0.0,0.0,0.4583333333333333,0.0625,0.15625,0.0,0.0,0.1909722222222222,0.0,0.0,0.13194444444444445,0.0,-13.147010440931407
s3,0.4148104871669471,0.077555999358,2.4151928450639395,19.643417918799607,0.30060764243645416,30.092044471352615,3.2705856979734174,2.779513888888889,0.0,0.0,0.0,0.4583333333333333,0.0625,0.15625,0.0,0.0,0.1909722222222222,0.0,0.0,0.13194444444444445,0.0,-11.466627597187363
s4,0.4148104871669471,0.094790665882,2.4151928450639395,19.643417918799607,0.30060764243645416,30.092044471352615,3.2705856979734174,2.779513888888889,0.0,0.0,0.0,0.4583333333333333,0.0625,0.15625,0.0,0.0,0.1909722222222222,0.0,0.0,0.13194444444444445,0.0,-10.531195380475284
s5,0.3422111929106982,0.04308666631,2.4321412527232416,14.683504906748924,0.5683016740813543,28.80225962477673,1.1600788042368413,2.3348039215686276,0.0,0.0,0.06372549019607843,0.44607843137254904,0.0,0.22549019607843138,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,-16.76053957577113
s6,0.3422111929106982,0.060321332834,2.4321412527232416,14.683504906748924,0.5683016740813543,28.80225962477673,1.1600788042368413,2.3348039215686276,0.0,0.0,0.06372549019607843,0.44607843137254904,0.0,0.22549019607843138,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,-14.731652485436395
s7,0.3422111929106982,0.077555999358,2.4321412527232416,14.683504906748924,0.5683016740813543,28.80225962477673,1.1600788042368413,2.3348039215686276,0.0,0.0,0.06372549019607843,0.44607843137254904,0.0,0.22549019607843138,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,-13.276395723264535
s8,0.3422111929106982,0.094790665882,2.4321412527232416,14.683504906748924,0.5683016740813543,28.80225962477673,1.1600788042368413,2.3348039215686276,0.0,0.0,0.06372549019607843,0.44607843137254904,0.0,0.22549019607843138,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,-12.438154681887147
s9,0.3098184069643846,0.04308666631,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,-14.695191396785987
s10,0.3098184069643846,0.060321332834,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,-12.732762142626253
s11,0.3098184069643846,0.077555999358,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,-11.56984372531678
s12,0.3098184069643846,0.094790665882,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,-10.74748491541494
s13,0.33613839969009623,0.04308666631,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,-14.824906409440976
s14,0.33613839969009623,0.060321332834,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,-12.990154934417026
s15,0.33613839969009623,0.077555999358,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,-11.408136898088665
s16,0.33613839969009623,0.094790665882,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,-10.599318181984566
s17,0.36490794022980216,0.04308666631,2.260671135463873,12.049710598220024,0.4189792998568869,21.84622327969971,1.6353067100442658,2.6404035874439464,0.24663677130044842,0.0,0.0,0.5515695067264574,0.0,0.14798206278026907,0.0,0.053811659192825115,0.0,0.0,0.0,0.0,0.0,-16.61617250197141
s18,0.36490794022980216,0.060321332834,2.260671135463873,12.049710598220024,0.4189792998568869,21.84622327969971,1.6353067100442658,2.6404035874439464,0.24663677130044842,0.0,0.0,0.5515695067264574,0.0,0.14798206278026907,0.0,0.053811659192825115,0.0,0.0,0.0,0.0,0.0,-15.382376875468935
s19,0.36490794022980216,0.077555999358,2.260671135463873,12.049710598220024,0.4189792998568869,21.84622327969971,1.6353067100442658,2.6404035874439464,0.24663677130044842,0.0,0.0,0.5515695067264574,0.0,0.14798206278026907,0.0,0.053811659192825115,0.0,0.0,0.0,0.0,0.0,-13.045929190210451
s20,0.36490794022980216,0.094790665882,2.260671135463873,12.049710598220024,0.4189792998568869,21.84622327969971,1.6353067100442658,2.6404035874439464,0.24663677130044842,0.0,0.0,0.5515695067264574,0.0,0.14798206278026907,0.0,0.053811659192825115,0.0,0.0,0.0,0.0,0.0,-12.062961642908816
s21,0.3407892375254205,0.04308666631,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-14.349206197546161
s22,0.3407892375254205,0.060321332834,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-12.099011537975464
s23,0.3407892375254205,0.077555999358,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-10.841187962298502
s24,0.3407892375254205,0.094790665882,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-10.0323779965023
s25,0.34767667371959776,0.04308666631,3.1353062291862637,13.658071748103355,0.8644171270493188,30.1135798783484,1.698585545733467,2.1982513661202185,0.0,0.0,0.0,0.453551912568306,0.0,0.4262295081967213,0.0,0.0,0.0,0.0,0.12021857923497267,0.0,0.0,-16.503086890381628
