# FEAT_ID     Feature Postfix Expression (RPN)
0             0|sin
1             0|sin|0|div
2             0|sin|0|sub
3             0|sin|0|exp|div
4             0|cos|0|mult
5             0|cos
6             0|cos|exp
7             0|cos|0|div
8             0|cos|0|add
9             0|cos|0|sub
10            0
11            0|cos|0|sin|sub
12            0|sin|0|add
13            0|cos|0|exp|div
14            0|0|exp|div
#-----------------------------------------------------------------------
