# FEAT_ID     Score                   Feature Expression
0             0.847078975487416508    (Na-Na / E_T)
1             0.849071739411369597    (E_T / Na-Na)
2             0.850401753937832239    (Na-Na-avg - E_T)
3             0.862525928842049039    (face-area-count / E_T)
4             0.874769983319536371    (AAV / E_T)
5             0.882891163334011297    (E_T / face-area-avg)
6             0.897113998757862019    (face-area-avg - E_T)
7             0.898469357707767813    (face-area-avg / E_T)
8             0.908840388336330296    (cub_root_V / E_T)
9             0.920215075729965526    (E_T / cub_root_V)
#-----------------------------------------------------------------------
10            0.519734611680089387    (WE / RBI)
11            0.520642794398261777    (rho / RBI)
12            0.52139734363285839     (poly_dist_avg_fixed + Al)
13            0.523303301604817306    (F - SBI)
14            0.531271674521768045    (poly_dist_avg + Al)
15            0.532170792049564745    (SBI / E_T)
16            0.539219995473704028    (O * SBI)
17            0.569320181420172711    (O / RBI)
18            0.590004274212031943    (Al + O)
19            0.592301225678191434    (O - NBI)
#-----------------------------------------------------------------------
20            0.270791593701628142    (I - Al)
21            0.27189220854488777     (NBI * AAV)
22            0.273921947967946722    (Al + Na)
23            0.276239188157485771    (cub_root_V * NBI)
24            0.278902747209301194    (face-area-max * NBI)
25            0.280295727324485877    (F / poly_dist_avg_fixed)
26            0.300298696897162876    (poly_dist_std - Al)
27            0.30224892350935284     (Al + F)
28            0.317532673652406616    (F * S)
29            0.354298777468137427    (face-area-avg * NBI)
#-----------------------------------------------------------------------
