# c0 + a0 * (poly_dist_std - Si) + a1 * (PF / NBI) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.287413147333563; Max AE: 1.58806969271692
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.806984054897211e+00, -9.948932166188942e-01, -2.502739536109868e+00,  6.964466086908311e+00, -5.597086952734719e-01, -1.317002452014638e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|16|sub; (poly_dist_std - Si); $\left(poly_{dist, std} - Si\right)$; (poly_dist_std - Si); (newdata$poly_dist_std - newdata$Si); poly_dist_std,Si
# 1;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 2;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              33|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s28         , -1.658938425028538e+01, -1.689835872736226e+01,  3.816811617983941e-02,  4.931255786548856e-01,  5.862068965517241e-02,  3.587289298271981e-01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.326481019396418e+01,  1.187095924342960e-01,  1.324878781895523e+00,  4.293785310734464e-01,  1.226354761217143e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.697864109504793e+01,  6.959185480639879e-02,  6.065444886669565e-01,  0.000000000000000e+00,  3.276868423896840e-01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.970823125324344e+01,  1.376863476054741e-01,  1.188172242085945e+00,  2.842105263157895e-01,  2.472776461939692e-01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.102013277869115e+01,  7.124953768603666e-02,  8.905464125598285e-01,  0.000000000000000e+00,  1.807857716845267e-01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.339100639352931e+01,  1.210375631818995e-01,  1.089624002350999e+00,  4.126984126984127e-01,  1.255117347684950e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.257714394979012e+01,  6.845554332506701e-02,  1.478090003144594e+00,  7.954545454545454e-02,  1.704713383703924e-01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.260917356539265e+01,  1.129337985377690e-03,  1.036655803575196e+00,  5.145631067961165e-01,  1.416329006106836e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.186706729126379e+01,  1.122323577756515e-01,  3.266187212906813e-01,  6.102236421725240e-01,  2.143866870261807e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.198115022220421e+01,  1.122074138468478e-01,  3.531495909957666e-01,  5.389830508474577e-01,  1.954018115991528e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.127146924844648e+01,  1.838781914921281e-01,  1.419667749389314e+00,  3.099415204678362e-01,  1.898105042368268e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.099523725474011e+01,  1.227489944621229e-01,  8.758796084894347e-01,  8.161434977578476e-01,  1.965968280284532e-01,  1.161713035157313e+01
