# c0 + a0 * (P * S) + a1 * (poly_dist_avg_fixed - NBI) + a2 * (Al - B) + a3 * (face-area-avg * E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.291934227266909; Max AE: 1.60438294752402
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  5.410783045240781e+00, -3.323353541073538e+00, -1.750369308412524e+00,  9.747250987487174e-02, -9.302129960013813e-01, -1.275097563762689e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         17|11|mult; (P * S); $\left(P S\right)$; (P .* S); (newdata$P * newdata$S); P,S
# 1;  1; Unitless;                                         31|5|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 2;  1; Unitless;                                         15|9|sub; (Al - B); $\left(Al - B\right)$; (Al - B); (newdata$Al - newdata$B); Al,B
# 3;  1; A^2;                                              33|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s1          , -2.244947812336508e+01, -2.209648055535615e+01,  0.000000000000000e+00, -2.733445324275395e-01,  0.000000000000000e+00,  3.560995675399762e+01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.302329266883854e+01,  0.000000000000000e+00, -2.734949098882034e-01,  0.000000000000000e+00,  4.665265980384177e+01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.779097660894027e+01,  0.000000000000000e+00, -4.004859851472701e-01, -4.347826086956524e-03,  3.594374374082060e+01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.912634746211366e+01,  2.095694988006565e-02, -2.945191678607162e-01,  0.000000000000000e+00,  4.326563969645847e+01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.045609462221530e+01,  0.000000000000000e+00, -2.922450284908473e-01,  0.000000000000000e+00,  4.225684067687310e+01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.147635208564341e+01,  0.000000000000000e+00, -2.955339758367886e-01,  0.000000000000000e+00,  3.251673179349294e+01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.159833516460217e+01,  0.000000000000000e+00, -2.444664013271263e-01,  1.541850220264317e-01,  2.860869557636923e+01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.087382065677771e+01,  0.000000000000000e+00, -3.244057028467022e-01,  0.000000000000000e+00,  5.034597625869112e+01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.307122960169964e+01,  0.000000000000000e+00, -3.064153012895160e-01,  0.000000000000000e+00,  3.201850758064101e+01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.938156209673032e+01,  0.000000000000000e+00, -3.785508693087064e-01,  0.000000000000000e+00,  3.576448139210588e+01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.920151377115257e+01,  0.000000000000000e+00, -4.132697209907581e-01,  0.000000000000000e+00,  4.641989593191737e+01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.960284119774089e+01,  0.000000000000000e+00, -2.724780451998594e-01,  3.421052631578947e-01,  3.475392376501588e+01,  1.133734758203288e+01
