# c0 + a0 * (face-area-avg * NBI) + a1 * (P + B) + a2 * (AAV * E_T) + a3 * (Al + O) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.293994236610423; Max AE: 1.64253612048114
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.091020500462270e+00,  2.079814199320081e+00,  5.660807286367001e-03, -1.522534404028936e+00, -8.018099779108117e-01, -1.262761384563423e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              32|4|mult; (face-area-avg * NBI); $\left(face-area-avg NBI\right)$; (face_sub_area_sub_avg .* NBI); (newdata$face_sub_area_sub_avg * newdata$NBI); face-area-avg,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^3;                                              1|0|mult; (AAV * E_T); $\left(AAV E_{T}\right)$; (AAV .* E_T); (newdata$AAV * newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s28         , -1.658938425028538e+01, -1.695235116328128e+01,  1.812942075774120e+00,  1.137931034482759e-01,  2.924911231393635e+02,  5.862068965517241e-02,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.314727768727423e+01,  1.247707485511527e+00,  1.073446327683616e-01,  1.967789504071851e+02,  4.293785310734464e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.702435155091749e+01,  1.539591798411165e+00,  2.658227848101266e-01,  2.493799123829490e+02,  0.000000000000000e+00,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.964863994266686e+01,  1.246696340172717e+00,  0.000000000000000e+00,  2.700867039359574e+02,  2.842105263157895e-01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.094988422308912e+01,  1.537511330415470e+00,  1.176470588235294e-01,  3.038683100890911e+02,  0.000000000000000e+00,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.343199366309080e+01,  1.219267775433423e+00,  2.063492063492063e-01,  2.189676279938775e+02,  4.126984126984127e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.243324671603636e+01,  1.155029411685037e+00,  0.000000000000000e+00,  3.564231275201365e+02,  7.954545454545454e-02,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.239871748826217e+01,  1.318273301947079e+00,  6.310679611650485e-02,  1.869896457344271e+02,  5.145631067961165e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.152976688107805e+01,  2.070246654300221e+00,  2.428115015974441e-01,  2.646782570470339e+02,  6.102236421725240e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.174848015812664e+01,  1.908723577167332e+00,  2.440677966101695e-01,  2.713897451386412e+02,  5.389830508474577e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.113366445794853e+01,  1.290785968367835e+00,  0.000000000000000e+00,  2.470336765354780e+02,  3.099415204678362e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.106880785654351e+01,  1.130932722897776e+00,  0.000000000000000e+00,  1.558563546992906e+02,  8.161434977578476e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.963529391751923e+01,  1.093427256798908e+00,  0.000000000000000e+00,  2.681505439587434e+02,  1.702127659574468e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.942021886491606e+01,  1.220807462134222e+00,  0.000000000000000e+00,  2.849430305808780e+02,  2.189054726368159e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.912634013722981e+01,  1.409715127280063e+00,  1.956521739130435e-01,  3.252391620840144e+02,  6.521739130434782e-02,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.267336609286801e+01,  1.178284117013246e+00,  0.000000000000000e+00,  1.870542660196770e+02,  7.235023041474655e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.945825961439837e+01,  1.416696907152893e+00,  3.684210526315789e-02,  3.316838594361570e+02,  0.000000000000000e+00,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.913110258702316e+01,  1.441512710700584e+00,  1.666666666666667e-01,  2.902244619912108e+02,  3.030303030303030e-02,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.044039548481420e+01,  1.430754428927658e+00,  0.000000000000000e+00,  3.271762153140057e+02,  1.098039215686274e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.856983823235245e+01,  1.711270045614193e+00,  8.480565371024736e-02,  2.684091178341505e+02,  0.000000000000000e+00,  1.185448877277465e+01
