# c0 + a0 * (PF / NBI) + a1 * (Al + O) + a2 * (AAV / E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.328320095752139; Max AE: 1.65905783213083
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.136791607691088e+00, -2.134287142510275e+00,  7.711971032979245e-01, -5.630559117492897e-01, -1.268897312144537e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         2|4|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 1;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; A^3;                                              1|0|div; (AAV / E_T); $\left(\frac{ AAV }{ E_{T} } \right)$; (AAV ./ E_T); (newdata$AAV / newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s34         , -2.302504917991390e+01, -2.258983472542775e+01,  1.478090003144594e+00,  7.954545454545454e-02,  1.363775669393310e+00,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.238389151668464e+01,  1.036655803575196e+00,  5.145631067961165e-01,  9.578189981795995e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.200330769255451e+01,  3.266187212906813e-01,  6.102236421725240e-01,  1.233385749643939e+00,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.203184260106898e+01,  3.531495909957666e-01,  5.389830508474577e-01,  1.212763995904474e+00,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.150548772681313e+01,  1.419667749389314e+00,  3.099415204678362e-01,  1.389566521505559e+00,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.099706932964384e+01,  8.758796084894347e-01,  8.161434977578476e-01,  1.258530240392281e+00,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.976520152124269e+01,  1.368793378547939e+00,  1.702127659574468e-01,  1.926602339311937e+00,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.943974063056534e+01,  1.123356305609270e+00,  2.189054726368159e-01,  2.071346978201281e+00,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.909841589686895e+01,  5.911563542438496e-01,  6.521739130434782e-02,  2.015493775638456e+00,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.243954306596299e+01,  9.293985973693624e-01,  7.235023041474655e-01,  1.007957810908817e+00,  1.407890359041090e+01
