Complexity,Loss,Equation
1,20.179163,"VPA"
3,1.5853623,"-20.285435"
5,0.6620743,"-7.1018023 - E_T"
7,0.55672705,"-6.9470377 - (O_frac + E_T)"
9,0.49305746,"(-6.7542844 - E_T) - (WE * O_frac)"
11,0.37235406,"(face_area_avg + -12.4990835) - (E_T * 0.59308463)"
13,0.3464133,"((B_frac + -12.577546) + face_area_avg) - (E_T * 0.58934957)"
15,0.32376036,"((WE * B_frac) + (AAV - (E_T * 0.6235))) + -12.23054"
16,0.32270956,"(AAV + ((B_frac / PF) + -12.534117)) - (E_T * 0.60119885)"
17,0.29724002,"(-11.944155 - (E_T * 0.65029514)) + (AAV + (WE * (B_frac + F_frac)))"
19,0.27696234,"(E_T * -0.6531609) + (((F_frac + B_frac) * WE) + ((AAV - Al_frac) + -11.875477))"
21,0.26680115,"((AAV + -11.708624) - (Al_frac + I_frac)) + ((E_T * -0.66448337) + ((B_frac + F_frac) * WE))"
23,0.25285736,"(((B_frac + F_frac) * WE) + ((AAV + -11.976023) - (Al_frac + I_frac))) + ((-0.64759797 * E_T) + Cl_frac)"
25,0.24790129,"(((B_frac + F_frac) * 2.788909) + Cl_frac) + ((E_T * -0.65345365) + ((AAV + -11.929449) - (Al_frac + I_frac)))"
27,0.24416266,"(((AAV + -12.018062) - (Al_frac + I_frac)) + ((B_frac + F_frac) * 2.7840772)) + ((E_T - (Cl_frac * WE)) * -0.6476083)"
29,0.24307616,"(((AAV + -12.250501) - (Al_frac + I_frac)) + ((S_frac - -2.631598) * (B_frac + F_frac))) + ((E_T - (Cl_frac * WE)) * -0.63056415)"
31,0.24296342,"(((AAV + -12.250501) - (Al_frac + I_frac)) + ((S_frac - -2.631598) * (B_frac + F_frac))) + ((E_T - (Cl_frac * 2.4010668)) * -0.63056415)"
