# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (P + B) + a2 * (face-area-avg * E_T) + a3 * (E_T / face-area-avg) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.294868322057634; Max AE: 1.80136853907234
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.164697496472354e+00,  2.501536993115274e+00,  1.747862036699488e-01,  5.819362997572881e-01, -1.330638429775397e+00, -1.353368406577642e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; A^-2;                                             0|32|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s27         , -2.017409009594002e+01, -1.999704159915175e+01, -3.641088945052262e-01,  1.710526315789474e-01,  3.736615528610256e+01,  4.623091365333472e+00,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.696655208816721e+01, -4.091986651180588e-01,  1.137931034482759e-01,  3.666234647258013e+01,  2.787620169027645e+00,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.306073879608020e+01, -3.152607683589675e-01,  1.073446327683616e-01,  2.859111699459839e+01,  8.154247299594706e+00,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.709744433286310e+01, -3.792587275624338e-01,  2.658227848101266e-01,  3.295627441066929e+01,  3.051694089110857e+00,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.957992174747681e+01, -3.329103626147117e-01,  0.000000000000000e+00,  3.399611636219903e+01,  4.044037200255381e+00,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.094077419927382e+01, -4.560831736502798e-01,  1.176470588235294e-01,  4.025447112845632e+01,  5.531408753477634e+00,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.299406142846478e+01, -3.894824756460000e-01,  2.063492063492063e-01,  3.220675992277420e+01,  7.967382506858733e+00,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.250037278672393e+01, -3.227030048160777e-01,  0.000000000000000e+00,  4.455272882346433e+01,  5.866088748756377e+00,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.246372038882399e+01, -2.994700044061031e-01,  6.310679611650485e-02,  2.765019900405555e+01,  7.060506391440581e+00,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.146225637775003e+01, -2.432166247466915e-01,  2.428115015974441e-01,  4.600628365664067e+01,  4.664468740439472e+00,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.177726910904172e+01, -2.755059157063177e-01,  2.440677966101695e-01,  4.372660140687414e+01,  5.117659820121829e+00,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.100600102056719e+01, -3.732926497894007e-01,  0.000000000000000e+00,  3.374403886463284e+01,  5.268412325338428e+00,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.046545971257068e+01, -3.147730979364888e-01,  0.000000000000000e+00,  2.434654645438425e+01,  5.086552056960304e+00,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.978393765358444e+01, -2.860543489033874e-01,  0.000000000000000e+00,  3.333985875176263e+01,  4.174676656321812e+00,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.935487391032411e+01, -2.985565554500590e-01,  0.000000000000000e+00,  3.623062983869288e+01,  3.796901231327599e+00,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.913061681869880e+01, -3.069767301053377e-01,  1.956521739130435e-01,  4.168258078995260e+01,  3.871388642529517e+00,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.251414113158583e+01, -2.425345663989731e-01,  0.000000000000000e+00,  2.778993064193830e+01,  6.677867532356297e+00,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.960624537529799e+01, -3.740362316013757e-01,  3.684210526315789e-02,  4.013106591802116e+01,  4.136378544072627e+00,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.914781512892072e+01, -4.014814156723991e-01,  1.666666666666667e-01,  3.712538806347220e+01,  4.185805136023629e+00,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.045269120741560e+01, -3.343672691912639e-01,  0.000000000000000e+00,  4.292613046218703e+01,  4.361119247422442e+00,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.859145277256522e+01, -4.455962803941608e-01,  8.480565371024736e-02,  3.674722537879586e+01,  3.824204483882725e+00,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.668655698133553e+01, -3.925898175911589e-01,  0.000000000000000e+00,  4.409123992202438e+01,  2.490498484953916e+00,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.163904681477541e+01, -3.769330315407132e-01,  1.343873517786561e-01,  4.513997850794564e+01,  5.268316542667044e+00,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.050283653133309e+01, -3.009789092410951e-01,  0.000000000000000e+00,  4.542063862006720e+01,  4.343051757670166e+00,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.240886848376184e+01, -2.948483434189449e-01,  1.959798994974874e-01,  3.073947576855190e+01,  6.974402032257101e+00,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -1.955642612663027e+01, -3.477447359407730e-01,  2.184873949579832e-01,  4.487465519166598e+01,  3.865554172400111e+00,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.918022685272767e+01, -2.669962624506305e-01,  0.000000000000000e+00,  2.502463905645082e+01,  3.630780761959807e+00,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.408719966848085e+01, -3.657107422996874e-01,  1.458333333333333e-01,  3.278356967276199e+01,  9.159623694097546e+00,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.978928137021235e+01, -2.974041518904164e-01,  1.106557377049180e-01,  4.307757506656899e+01,  4.101541791259838e+00,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.313234690109746e+01, -3.189304631059257e-01,  6.521739130434782e-02,  2.924138928351903e+01,  7.852315070764368e+00,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.132836089967572e+01, -3.178314733044458e-01,  2.796610169491525e-01,  2.841293595912515e+01,  6.442777526051451e+00,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.532144261367928e+01, -2.679386004193549e-01,  0.000000000000000e+00,  3.527284366941809e+01,  8.849126740518532e+00,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -2.026239307724906e+01, -3.133269413319116e-01,  0.000000000000000e+00,  3.789128804508721e+01,  4.426113363404142e+00,  1.295033344640037e+01
s60         , -1.686951544328429e+01, -1.697519958183956e+01, -3.974039864180118e-01,  1.538461538461539e-01,  3.906394970804805e+01,  2.811727103401275e+00,  1.048032280800659e+01
s61         , -1.698686520707895e+01, -1.755863696116836e+01, -3.531811216066295e-01,  2.112211221122112e-01,  3.732438133598230e+01,  3.122523817127267e+00,  1.079565976127190e+01
s62         , -1.961666852236879e+01, -1.949944664456024e+01, -4.045029015224890e-01,  1.179487179487179e-01,  3.912112940049187e+01,  4.319140313550020e+00,  1.299883252854930e+01
s63         , -2.363642228074260e+01, -2.329433771663722e+01, -3.078739480790571e-01,  1.273584905660377e-01,  3.544370295652691e+01,  7.074769809041634e+00,  1.628810851264553e+01
s64         , -2.123215125329894e+01, -2.143034338175057e+01, -3.361731052219630e-01,  0.000000000000000e+00,  2.499016394232634e+01,  6.530218005076108e+00,  1.312514729915971e+01
