Complexity,Loss,Equation
1,7.6248404e-13,"6.29599e-7"
3,6.518679e-13,"2.3395019e-7 / Ea"
4,4.599116e-13,"exp(Ea * -50.959152)"
5,3.4158982e-13,"-4.0929153e-6 - (-1.5663086e-6 / Ea)"
6,2.4266393e-13,"exp(-27.84266 * (Ea - -0.20476645))"
7,2.3745407e-13,"exp(sin(Ea - -0.22330141) * -27.84266)"
8,2.3718543e-13,"exp(cos(cos(Ea / 0.29963356)) * -16.24579)"
10,2.3631086e-13,"exp(cos(cos(Ea / -0.295204)) * -16.865646) / 0.54598004"
13,2.3629446e-13,"exp((cos(cos(sin(Ea) / -0.29969853)) * -17.831526) - -1.1870437) - -1.5092155e-8"
14,2.3629056e-13,"exp((-16.57247 - (-0.113459535 / Ea)) * cos(cos(Ea / 0.2990972))) * 0.9369814"
16,2.3627451e-13,"(exp(cos(cos(sin(Ea) / -0.295204)) * -16.865646) / cos(cos(Ea))) * cos(Ea)"
18,2.3392873e-13,"exp((cos(cos(sin(Ea) / -0.29966903)) * -17.831526) - (-1.1866657 - (sin(45.881077 / Ea) / -16.24443)))"
19,2.334827e-13,"exp(((cos(cos(sin(Ea) / -0.29966903)) * -17.831526) - -1.1866657) - (cos(45.881077 / sin(Ea)) / -16.24443))"
20,2.1681047e-13,"exp((cos(cos(Ea / 0.29985222)) * -17.831526) - (-1.3108104 - (0.29985222 / (-15.91269 + (-0.11467792 / (0.242651 - Ea))))))"
21,2.1608209e-13,"exp((cos(cos(sin(Ea) / -0.29966903)) * -17.831526) - (-1.2590563 - (1.4700325 / ((-0.32692587 / (0.242651 - Ea)) + -45.36418))))"
23,2.1579696e-13,"exp((cos(cos(sin(Ea) / -0.29966903)) * -17.831526) - (-1.2390368 - (1.2655305 / ((-0.11467792 / ((0.242651 - Ea) * 0.35077652)) + -45.36418))))"
25,2.1576133e-13,"exp((cos(cos(sin(Ea) / -0.29966903)) * -17.831526) - ((-1.2590563 - (1.2655305 / ((-0.11417719 / ((0.242651 - Ea) * 0.35077652)) + -45.36418))) * 0.98409957))"
27,2.1464633e-13,"exp((cos(cos(sin(Ea) / 0.29963356)) * -17.831526) - (-1.2481245 - (exp(cos(-45.36418 / Ea)) / (-45.36418 + (-0.11467792 / ((0.242651 - Ea) * 0.35077652))))))"
28,2.1113258e-13,"exp((cos(cos(sin(Ea) / 0.29963356)) * -17.831526) - (-1.2481245 - (exp(cos(exp(Ea - -28.137562))) / ((-0.11467792 / ((0.242651 - Ea) * 0.35077652)) + -45.36418))))"
30,2.107609e-13,"exp((cos(cos(sin(Ea) / -0.29966903)) * -17.831526) - (-1.2481245 - (exp(sin(exp((Ea + 0.37989745) / 0.013670333))) / ((-0.11467792 / (0.35368994 * (0.242651 - Ea))) + -45.36418))))"
