# FEAT_ID     Feature Postfix Expression (RPN)
0             11|0|add
1             0|1|div
2             22|0|div
3             0|22|div
4             34|0|div
5             1|0|div
6             0|32|div
7             32|0|div
8             21|0|div
9             0|21|div
#-----------------------------------------------------------------------
10            30|6|div
11            29|6|div
12            5|1|div
13            14|11|add
14            11|6|div
15            12|5|sub
16            4|3|mult
17            5|0|div
18            1|0|mult
19            32|0|mult
#-----------------------------------------------------------------------
20            14|12|sub
21            36|6|mult
22            4|2|div
23            14|13|add
24            16|8|add
25            2|4|div
26            14|8|sub
27            21|7|mult
28            32|4|mult
29            12|8|add
#-----------------------------------------------------------------------
30            28|16|add
31            17|14|sub
32            20|15|sub
33            32|28|mult
34            17|16|add
35            15|13|add
36            28|3|mult
37            28|1|mult
38            30|4|sub
39            28|20|add
#-----------------------------------------------------------------------
