Complexity,Loss,Equation
1,0.7659163,"O_frac"
3,0.63726413,"Ge_frac - face_area_avg"
5,0.5811662,"(AAV / RBI) - face_area_avg"
7,0.5576339,"(face_area_max + face_area_avg) * (O_frac - NBI)"
9,0.5352054,"((face_area_avg + face_area_max) * (O_frac - NBI)) + poly_dist_avg"
11,0.52384156,"(poly_dist_avg + ((face_area_max + face_area_avg) * (O_frac - NBI))) - Al_frac"
13,0.51678973,"((face_area_max + face_area_avg) * (O_frac - NBI)) + (poly_dist_avg + (poly_dist_avg - SBI))"
15,0.50499815,"(poly_dist_avg + ((poly_dist_avg - SBI) * WE)) + ((O_frac - NBI) * (face_area_max + face_area_avg))"
17,0.49958143,"(poly_dist_avg + ((face_area_max + face_area_avg) * (O_frac - NBI))) + (Ge_frac - ((SBI - poly_dist_avg) * WE))"
19,0.4936201,"((poly_dist_avg - B_frac) + ((face_area_max + face_area_avg) * (O_frac - NBI))) + (Ge_frac - (WE * (SBI - poly_dist_avg)))"
21,0.4872987,"(((Na_frac - Cl_frac) - B_frac) + ((O_frac - NBI) * (face_area_max + face_area_avg))) + (Ge_frac - (WE * (SBI - poly_dist_avg)))"
23,0.48571292,"(((Na_frac - Cl_frac) - B_frac) + ((O_frac - NBI) * (face_area_max + face_area_avg))) + ((Na_Na_avg * Ge_frac) - (WE * (SBI - poly_dist_avg)))"
27,0.48491243,"(((Na_frac - Cl_frac) - B_frac) + ((O_frac - NBI) * (face_area_max + face_area_avg))) + (((0.4899808 + AAV) * Ge_frac) - (WE * (SBI - poly_dist_avg)))"
29,0.47897583,"((O_frac - (NBI + B_frac)) * (face_area_avg + (face_area_avg + -0.3896928))) + (((poly_dist_avg - B_frac) + (P_frac + poly_dist_avg)) - ((Ge_frac - SBI) * -2.2306757))"
