sample_id,AAV,cub_root_V,face-area-avg,face-area-count,ln_D
s1,14.633847712797454,25.218719343339046,2.521378495397306,24.78405485524708,-22.44947812336508
s2,18.856722019647552,27.138802971719223,2.837638352641486,29.00826512304658,-22.98888400764099
s3,25.551037085977804,30.858072203381134,3.383426140560227,39.47400904384479,-17.552712466234308
s4,26.401584933872623,30.4368999885941,3.4443356743536517,40.58767222111217,-19.17258847351942
s5,21.500606774061463,28.172670673156876,3.1659058593845337,35.067899134662326,-20.000940917037838
s6,14.266431345592876,24.63535800013767,2.458773844019737,24.008806553182456,-21.795324630315818
s7,15.019865185062612,25.73676549186854,2.2731396492594924,24.72788230554392,-21.569805033820113
s8,25.637818364491373,29.565180367321513,3.3194965447241036,38.56046123200643,-20.706803990142678
s9,14.413666385809208,24.537639241295448,2.1238063144632653,17.4728605222126,-23.1167821087172
s10,23.638548935284895,30.085536762672614,2.924788301262471,31.072973373015767,-19.55558688693647
s11,25.75893630665174,31.278658751023155,3.496772030658555,38.311956461230636,-19.292320320847477
s12,22.55455747464971,28.496655386308532,3.079734018606523,38.52126546921191,-19.724203045459767
s13,25.91403718130974,29.63167921422057,3.3116909797756895,37.93094562803379,-16.497714345530376
s14,28.856578767542644,31.313298832371682,3.7289800958286325,42.96885468525203,-18.142842377157372
s15,21.140732948381665,29.08646928728332,2.6825420753841303,26.21456862784396,-21.409887452724632
s16,13.524345404733316,23.95957272478984,2.1113940862591,19.629689624828288,-22.71802967642396
s17,23.503576411880665,30.732670736868833,3.1722322541427537,37.64068851338993,-18.45283706311921
s18,18.551866531978558,28.24801681281742,2.7975549160676003,33.62453708704192,-21.063708819965775
s19,12.378182947665053,23.84278625566677,1.9923114225308793,13.945711794351723,-21.664409036968618
s20,27.526439760099983,30.3140190212362,3.534191675081644,42.85265581994504,-19.575243739400413
s21,16.963280573943894,25.98225224378,2.3717097394743125,19.485002233986002,-22.300123292835202
s22,30.86599480330913,31.36847648487434,3.9871554249209176,48.169304740579165,-17.091752304261984
s23,13.897886362273395,24.66744511632828,2.214027081263627,17.24528354806313,-22.71630669020732
s24,19.301767605055343,28.46568653310531,2.918509517221191,32.789926305616056,-19.975934617610072
s25,12.982801393045792,23.978994977715896,1.8791225445956157,6.646953176850578,-22.28124530569044
s26,32.06251242680661,33.99209092932126,4.00899834953459,48.630679030442636,-18.065022398651873
s27,21.331473482036472,28.971783799679528,2.842974530359941,31.88894080658613,-20.174090095940016
s28,28.9324867189732,32.256302546127934,3.6265471615660285,41.277677622496135,-16.589384250285384
s29,12.887573026810156,23.920222699150354,1.8725077424363863,7.275031785998616,-22.62132344831001
s30,24.866915271240646,30.887310100317766,3.286234547101008,37.813667543708675,-16.97997334312175
s31,23.03461619467093,29.723180391010494,2.8993929767764945,31.073318778463072,-19.64904728113367
s32,20.36387730567396,28.231952624811534,2.6976722608038353,27.211395413124222,-21.510596527150504
s33,13.66937197972066,24.933727312476844,2.0105537319802798,14.26310740775077,-22.89264810431292
s34,22.047249019345504,28.554382657071404,2.755896099382036,22.48696537508562,-23.0250491799139
s35,13.382908321710465,23.97705884843304,1.9789335227356735,14.922891737713154,-22.440613855914414
s36,18.06793819123829,28.281621673208548,3.1405628055388277,31.989031968709625,-22.39655424600443
s37,18.141987536150367,27.766573566317383,2.923056128434292,29.92482295252502,-22.26102540809307
s38,18.52753968011224,26.68834875866202,2.5308048190018604,14.415006745069737,-21.024363773527753
s39,14.005353817250128,24.99518280850433,2.187796564212342,22.41981917412146,-21.416611048330665
s40,22.729264512488818,29.487061402549838,2.825988928422307,27.322258104895056,-19.902759354684093
