sample_id,E_T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s1,7.1905866361371,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,-14.695191396785987
s2,7.801448301236565,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,-14.824906409440976
s3,7.909389765119206,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,-14.349206197546161
s4,6.51438049288622,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,-14.588913920328613
s5,7.633522070371748,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,-14.531482963711055
s6,7.349146862996486,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,-14.651697480634432
s7,7.634343129458566,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-14.265361830187556
s8,7.493041833870397,2.2843124384766815,23.351007304132338,0.40188371926576333,41.921493427891114,2.1901625140482865,2.161184210526316,0.0,0.0,0.4780701754385965,0.0,0.07894736842105263,0.24561403508771928,0.0,0.10526315789473684,0.0,0.0,0.09210526315789473,0.0,0.0,-14.256990563905111
s9,8.578651914394655,2.7257278307960866,25.209241180318614,0.2969150796641382,41.41518193909483,4.647120503637297,2.230632411067193,0.0,0.0,0.6086956521739131,0.0,0.0,0.1067193675889328,0.02766798418972332,0.0,0.0,0.0,0.25691699604743085,0.0,0.0,-14.37292967204356
s10,7.189133078527061,2.5597821385877046,27.482270337881783,0.40343036876208066,50.34567171141371,6.597252450260268,2.0155045871559634,0.0,0.0,0.43119266055045874,0.0,0.0,0.2798165137614679,0.0,0.11467889908256881,0.0,0.0,0.05963302752293578,0.0,0.11467889908256881,-13.978379869808803
s11,6.927212409606008,2.136514525480516,21.91694753127767,0.4059734764653831,42.413352167009506,5.697701118014736,2.075454545454545,0.23923444976076555,0.0,0.4449760765550239,0.0,0.0,0.24401913875598086,0.0,0.0,0.0,0.0,0.0,0.07177033492822966,0.0,-14.207463675360263
s12,7.781799073840278,2.0966236863774568,23.124865077131044,0.40063495146308914,41.77394981675282,3.1635440856038537,2.0663392857142857,0.0,0.0,0.5446428571428571,0.0,0.008928571428571428,0.23214285714285715,0.10267857142857142,0.0,0.11160714285714286,0.0,0.0,0.0,0.0,-14.744612082763277
s13,7.714609048750617,2.283156195533974,18.41229353050768,0.5312356060722699,37.98746875767897,2.6962556756369143,2.1766326530612248,0.18877551020408162,0.0,0.17857142857142858,0.2602040816326531,0.0,0.3163265306122449,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.04591836734693878,-14.907813290922618
s14,6.25641499796306,3.2313151666733817,34.50144951700675,0.26587447522567326,51.579667027925126,9.154625545003947,2.310401337792642,0.0,0.0,0.3779264214046823,0.0,0.0,0.10033444816053512,0.0,0.0,0.023411371237458192,0.0,0.20735785953177258,0.0,0.2909698996655518,-12.62179431497255
s15,7.621094284411799,1.9471208257231176,25.399061749779868,0.28694940369760596,42.38783815195052,3.7225632269393074,2.1765873015873014,0.0,0.0,0.5992063492063492,0.0,0.0,0.1349206349206349,0.0,0.26587301587301587,0.0,0.0,0.0,0.0,0.0,-14.612385587972822
s16,8.466791260314862,2.223086149609455,22.140543482377474,0.38299029227916903,37.88839483251921,2.6666365720828478,2.241522633744856,0.03292181069958848,0.0,0.5020576131687243,0.0,0.0823045267489712,0.2222222222222222,0.0,0.0,0.12345679012345678,0.0,0.037037037037037035,0.0,0.0,-14.773666350374278
s17,6.965545209929878,2.4581314964070113,26.36233221930859,0.46477691356464473,51.95682951960822,2.73909007802838,1.953793103448276,0.0,0.0,0.28078817733990147,0.0,0.0,0.3448275862068966,0.1477832512315271,0.0,0.0,0.0,0.0,0.22660098522167488,0.0,-14.223114459349283
s18,5.742710398507013,1.7006634752158178,25.3023973615195,0.24710966019850836,42.170662269199134,3.784766212238286,2.3701999999999996,0.276,0.0,0.352,0.0,0.0,0.124,0.0,0.0,0.0,0.248,0.0,0.0,0.0,-12.589845608342173
s19,6.929642414952987,2.6251330933756845,32.06251242680661,0.29695383239254614,54.55080239283069,3.752486896428846,2.137061224489796,0.09387755102040816,0.0,0.3469387755102041,0.0,0.0,0.1510204081632653,0.1673469387755102,0.0,0.0,0.0,0.0,0.0,0.24081632653061225,-13.487877008876485
s20,7.4779164198916375,2.0564804264329384,22.09280560684358,0.4573691659821177,43.966870564114416,4.885664455710958,2.035771144278607,0.19402985074626866,0.0,0.38308457711442784,0.0,0.0,0.3034825870646766,0.0,0.0,0.0,0.07960199004975124,0.0,0.03980099502487562,0.0,-14.363074992320104
s21,8.065752072747419,2.7861272402295834,21.67615493882239,0.3616103358452328,37.159122752267,2.7387530166690133,2.33175,0.0,0.0,0.38333333333333336,0.2,0.0,0.16666666666666666,0.0,0.025,0.0,0.0,0.225,0.0,0.0,-14.886735192184851
s22,7.545430289743591,2.0614146154364987,23.859650562774,0.337531671615568,41.665359937978465,2.631287918316342,2.1104273504273507,0.0,0.0,0.5726495726495726,0.0,0.0,0.15384615384615385,0.18803418803418803,0.0,0.08547008547008547,0.0,0.0,0.0,0.0,-14.700583556594573
s23,7.570978629679006,2.7018818806192777,20.557578935981176,0.3905551188168823,33.56870484483001,1.6311887961031122,2.5562790697674416,0.0,0.0,0.31007751937984496,0.0,0.3023255813953488,0.20930232558139536,0.0,0.0,0.0,0.0,0.17829457364341086,0.0,0.0,-14.221248994278127
s24,7.795687486574141,2.334040739665963,24.23050103521587,0.5110967937160327,49.73629159860104,7.435898966318622,1.9286153846153846,0.08205128205128205,0.0,0.3333333333333333,0.0,0.0,0.39487179487179486,0.0,0.0,0.035897435897435895,0.0,0.0,0.15384615384615385,0.0,-14.455269338758534
s25,7.118939478946283,2.3937476653210066,24.931863812357484,0.45567393793212607,47.823847858249316,7.378686316636301,2.0208056872037914,0.08530805687203792,0.0,0.33649289099526064,0.0,0.0,0.3412322274881517,0.0,0.0,0.052132701421800945,0.0,0.0,0.1848341232227488,0.0,-13.98744736555374
s26,7.87184986393648,2.6061675816790237,24.93853520708835,0.3745107139673548,43.596254139798894,4.579542312644264,2.14656779661017,0.0,0.0,0.5042372881355932,0.0,0.0,0.211864406779661,0.0,0.0,0.0,0.06779661016949153,0.21610169491525424,0.0,0.0,-14.226721854415624
s27,6.730625541378074,2.3063495272619474,33.034277355456204,0.20024271721640385,48.47085555894043,4.279356929502267,2.4125477707006366,0.0,0.0,0.39171974522292996,0.0,0.0,0.06687898089171974,0.0,0.21656050955414013,0.0,0.0,0.03503184713375796,0.2898089171974522,0.0,-13.128456062247029
s28,6.148514364065349,2.357653670677822,26.26453308736046,0.4059451357356698,49.331644755390094,2.345555330232261,2.01875,0.0,0.0,0.35185185185185186,0.0,0.0,0.25925925925925924,0.20833333333333334,0.0,0.0,0.0,0.0,0.18055555555555555,0.0,-13.80421394955886
s29,7.769754107745993,2.0245085525159117,23.415445854655054,0.4567270303558595,45.72638954635468,3.849031771464352,1.9483091787439613,0.0,0.0,0.5120772946859904,0.0,0.0,0.30917874396135264,0.0,0.178743961352657,0.0,0.0,0.0,0.0,0.0,-14.949588123724832
s30,7.1192439903302756,2.389631836155332,22.641981698155252,0.30597554387898174,35.207037475702926,1.9145951972054915,2.5434982332155474,0.0,0.0,0.4134275618374558,0.0,0.2226148409893993,0.1519434628975265,0.0,0.0,0.08480565371024736,0.007067137809187279,0.12014134275618374,0.0,0.0,-13.677373383509172
s31,8.853260947322894,2.6930474700384246,24.248468851252884,0.3881342003012747,43.300837234380126,5.439116685035184,2.0987999999999998,0.0,0.0,0.56,0.0,0.0,0.21333333333333335,0.0,0.0,0.0,0.0,0.22666666666666666,0.0,0.0,-14.877118886172072
s32,7.753079548340686,1.9052054970590735,20.81608000758587,0.2587712038039323,36.82844924419036,5.783489037690222,2.248695652173913,0.34782608695652173,0.0,0.5652173913043478,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.331869669902717
s33,7.49323280261016,2.2046767312139135,24.32061905604915,0.4811730857643522,49.90793702126754,2.230792681254545,1.8945685279187818,0.0,0.0,0.4010152284263959,0.0,0.0,0.3248730964467005,0.18781725888324874,0.0,0.0,0.0,0.0,0.08629441624365482,0.0,-14.952781334373345
s34,8.365063336741047,2.3957296160454864,23.361489603865095,0.38738817155396094,41.05958778861135,5.815029908702627,2.1057758620689655,0.0,0.0,0.5689655172413793,0.0,0.0,0.21551724137931033,0.03017241379310345,0.0,0.09051724137931035,0.0,0.09482758620689655,0.0,0.0,-14.7692533305889
s35,7.611996221847688,1.9845786635477354,25.6030761193689,0.2539743208713006,40.15027845991939,5.343254352920361,2.2730434782608695,0.0,0.0,0.6376811594202898,0.0,0.0,0.10144927536231885,0.06521739130434782,0.0,0.1956521739130435,0.0,0.0,0.0,0.0,-13.556231325553487
s36,6.66164388214787,1.921124240484219,19.806998479663037,0.33677713117129165,34.12008497226625,1.9042886280429996,2.469152542372881,0.24152542372881355,0.0,0.3220338983050847,0.0,0.19915254237288135,0.17796610169491525,0.0,0.0,0.0,0.059322033898305086,0.0,0.0,0.0,-13.693321238727007
s37,6.646048985579415,2.2794861239925077,27.863439532533302,0.3270001605334995,47.007707510668475,4.314783958359001,2.1701612903225804,0.0,0.0,0.40725806451612906,0.0,0.0,0.20967741935483872,0.0,0.1975806451612903,0.0,0.0,0.0,0.18548387096774194,0.0,-13.710151023292028
s38,6.763183164861317,2.1065640078252708,19.328104088218833,0.4293012005975132,35.17081235725065,2.1929379530025495,2.2905405405405403,0.0,0.0,0.26576576576576577,0.28378378378378377,0.0,0.23423423423423423,0.0,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,-14.63129145817202
s39,6.812443708937937,3.3184733841585037,24.64078543965595,0.46997997727148216,45.380113184699724,2.777842573825286,2.2820361990950224,0.0,0.0,0.0,0.334841628959276,0.0,0.3167420814479638,0.0,0.0,0.0,0.0,0.14027149321266968,0.0,0.2081447963800905,-14.366669266645731
s40,6.698713350829386,2.4260292129524315,29.34676527077325,0.3297313518548231,50.16007397344936,4.385557694812018,2.106721991701245,0.0,0.0,0.44398340248962653,0.0,0.0,0.1950207468879668,0.11618257261410789,0.03319502074688797,0.07053941908713693,0.0,0.0,0.0,0.14107883817427386,-13.40858470992052
s41,7.753117596667242,2.7750380610970087,25.697966981533995,0.42834499129249387,47.07694791575137,5.76019581551432,2.063073394495413,0.0,0.0,0.4036697247706422,0.0,0.0,0.2889908256880734,0.0,0.0,0.0,0.0,0.1651376146788991,0.14220183486238533,0.0,-14.348796287974926
s42,9.249949326069649,2.7261837762997616,24.937411104631046,0.33717370517199213,42.44665719937203,5.396389337335215,2.1738750000000002,0.0,0.0,0.5875,0.0,0.0,0.15833333333333333,0.0,0.0,0.0,0.0,0.25416666666666665,0.0,0.0,-14.811799431990577
s43,6.408188336154115,2.566410562670203,29.205338822395543,0.3141591529955927,46.76331037633569,5.009856894155916,2.256022304832714,0.0,0.0,0.4349442379182156,0.0,0.04460966542750929,0.19330855018587362,0.0,0.0,0.137546468401487,0.0,0.04460966542750929,0.0,0.1449814126394052,-12.886099257831914
s44,6.379429753159395,1.9861343436387673,24.87417225084676,0.29107729209174965,41.857227787631814,3.1890050462505606,2.1658196721311476,0.0,0.0,0.5942622950819673,0.0,0.0,0.12295081967213115,0.06557377049180328,0.21721311475409835,0.0,0.0,0.0,0.0,0.0,-14.081327445249832
s45,8.16873537744894,2.0811586431404936,24.074723605891126,0.32834315544429377,39.50723873787263,12.103046139009356,2.196328125,0.0,0.0,0.609375,0.0,0.0,0.18359375,0.0,0.0,0.20703125,0.0,0.0,0.0,0.0,-14.175957480766638
s46,5.762343966074309,2.406743032277012,26.460546326568917,0.3384261388433282,46.404689453311185,2.8095596127118725,2.248085106382979,0.17446808510638298,0.0,0.33617021276595743,0.0,0.09361702127659574,0.2127659574468085,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.14042553191489363,-12.900278116957384
s47,8.36771699660819,2.610859375562264,25.068339574863277,0.4730248105919983,48.94294869378068,6.224058017101845,1.9885365853658536,0.04390243902439024,0.0,0.35609756097560974,0.0,0.0,0.3463414634146341,0.0,0.0,0.0,0.0,0.0975609756097561,0.15609756097560976,0.0,-14.74432582637551
s48,7.3427802944538945,2.4433770433095563,23.638548935284895,0.5347046365926674,48.80216554381397,5.0529396569584035,1.9053645833333333,0.0,0.0,0.40625,0.0,0.0,0.390625,0.0,0.0,0.0,0.057291666666666664,0.125,0.020833333333333332,0.0,-14.511319344606942
