# c0 + a0 * (face-area-avg * AAV) + a1 * (Ge * S) + a2 * (poly_dist_avg - SBI) + a3 * (paths-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638949206402206; Max AE: 2.56879207881409
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.503992130420898e-01,  8.376008765523386e+00,  2.764356252296839e+00, -7.084578318394454e-02,  2.293492667046306e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         32|1|mult; (face-area-avg * AAV); $\left(face-area-avg AAV\right)$; (face_sub_area_sub_avg .* AAV); (newdata$face_sub_area_sub_avg * newdata$AAV); face-area-avg,AAV
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 3;  1; Unitless;                                         38|34|add; (paths-per-volume + face-area-count); $\left(paths-per-volume + face-area-count\right)$; (paths_sub_per_sub_volume + face_sub_area_sub_count); (newdata$paths_sub_per_sub_volume + newdata$face_sub_area_sub_count); paths-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s32         ,  1.122204297021453e+00, -8.875442645072895e-02,  5.139217720488728e-02,  0.000000000000000e+00, -1.792878633159145e-01,  2.652101706169604e+01
s33         ,  1.732999170998263e+00,  1.093892309147573e+00,  2.058627624918973e+00,  0.000000000000000e+00,  2.872556643172186e-02,  1.368313029744586e+01
s34         ,  1.815120104294484e+00,  7.636773559812313e-01, -3.206142693192686e-02,  1.962809917355372e-02, -5.765245815444058e-02,  2.173270521995317e+01
s35         ,  5.934117724273275e-01,  9.255899491739827e-01,  2.213711716387207e+00,  0.000000000000000e+00,  5.677885583507125e-04,  1.463081839303878e+01
s36         ,  9.702627198604924e-01,  4.168886530884133e-01, -2.525555546130063e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.338245665796941e+01
s37         ,  1.142962175227537e+00,  5.162628160152485e-01, -3.681547227962610e-02,  0.000000000000000e+00,  1.583645380015084e-01,  3.134333153027361e+01
s38         ,  2.376281988155590e-01,  8.589880311590777e-01,  2.992247817987016e-01,  0.000000000000000e+00, -1.513355065545662e-01,  1.370803125885236e+01
s39         , -9.901628269429662e-01,  7.458982765340405e-03,  1.568542646351758e+00,  0.000000000000000e+00, -1.591085244671556e-01,  2.272955972638795e+01
s40         , -6.175077579414836e-01,  2.125426062058109e-01, -2.712422175699965e-02,  7.384563150746943e-03, -9.260031202555204e-02,  2.669040204842281e+01
s41         , -6.558266813617915e-01, -4.505514582260379e-01,  1.932611932586248e-01,  0.000000000000000e+00, -9.060440147565874e-02,  3.478703797784176e+01
s42         , -1.132806252875512e-01, -4.494378088412136e-01,  5.364412568966466e-01,  0.000000000000000e+00,  4.224146301611585e-02,  3.922633727100242e+01
s43         ,  3.987508132795206e-01,  9.333161114509259e-02,  1.973154113896553e+00,  0.000000000000000e+00, -1.515331048154459e-01,  2.095408756198643e+01
s44         , -1.257042213831158e-02,  2.792366256441463e-01,  3.211898336758949e-01,  2.637119113573407e-02,  3.539456940220217e-02,  3.224860771999321e+01
s45         , -2.453536714432208e-01, -2.916958174285167e-01,  5.893068860485294e-02,  0.000000000000000e+00, -8.838336342410151e-02,  3.291659922721663e+01
s46         ,  4.319604697532172e-01,  6.504385931089187e-01,  2.090267573346895e-01,  1.367166474432911e-01, -5.879530444206718e-02,  3.661792089067173e+01
s47         , -5.858250576994644e-01,  5.635856110301596e-03,  9.314517389899232e-02,  4.966974241156713e-02, -1.843605789855209e-01,  3.077450245764113e+01
s48         , -1.351740028810569e+00, -1.146975170514324e+00,  4.317072708129235e+00,  7.742878013148284e-02, -5.112136932826805e-03,  4.835285487790421e+01
s49         ,  1.400180920836999e+00,  4.294785337972900e-01, -1.262804498771203e-02,  0.000000000000000e+00,  1.344794205037129e-01,  3.158497665756956e+01
s50         ,  6.339509690024701e-01,  6.302530354205516e-01,  3.692938371304909e-01,  1.140992751502213e-01,  2.557466259082548e-02,  3.718064813444586e+01
s51         ,  9.663578673416964e-01,  1.020237593355992e+00,  1.756979909242698e+00,  0.000000000000000e+00,  6.292220179653368e-02,  1.669748017158018e+01
s52         ,  1.470345916377529e-01,  4.223701054688425e-01, -1.734544277094837e-01,  0.000000000000000e+00,  1.294351048128195e-01,  3.182990731296897e+01
s53         , -1.879048126514940e+00, -7.008870823020397e-02,  4.046483267212077e-01,  0.000000000000000e+00, -5.185425279744299e-02,  3.047999274485288e+01
s54         ,  2.462378298792408e+00,  1.244790534382241e+00,  2.619264573590338e+00,  0.000000000000000e+00,  3.240651398480088e-02,  1.050662323350208e+01
s55         ,  2.147693442064033e-01, -3.432261074789671e-01,  3.140990886134467e-01,  0.000000000000000e+00,  1.037224488311621e-02,  3.695563774029827e+01
s56         ,  1.250856345991485e+00,  1.236731993593037e+00,  2.366667442702633e+00,  0.000000000000000e+00, -5.572711894520566e-02,  7.717694946503193e+00
s57         ,  3.470878239384724e-01,  7.260832344797294e-01,  2.249881728560442e+00,  0.000000000000000e+00, -1.096863046908764e-02,  1.691995959483742e+01
s58         ,  2.650904256602346e+00,  5.092719442699061e-01,  2.125325476277564e+00,  0.000000000000000e+00, -8.132544466581365e-02,  1.749943167449025e+01
s59         ,  2.436955679659398e-02, -3.844501929055699e-02,  2.761490330717060e-02,  0.000000000000000e+00, -2.302372611462891e-03,  3.276722684341374e+01
s60         , -1.350996154759193e+00, -1.119037752431537e+00,  2.376153516199675e+00,  0.000000000000000e+00, -7.994762449791984e-03,  4.281212363953195e+01
s61         , -1.175408395594881e+00, -6.821298152016815e-01,  1.147820122267063e+00,  0.000000000000000e+00,  1.411277091648948e-02,  4.011535814751848e+01
s62         ,  5.137509822735412e-02,  2.785792901094952e-02,  1.155706794324085e-01,  0.000000000000000e+00,  1.956840461791814e-02,  3.249801098920972e+01
s63         ,  1.630781368412474e+00,  1.156720511960366e+00,  1.213787341905360e+00,  0.000000000000000e+00,  1.617517296053618e-01,  1.978041368360392e+01
s64         , -7.346563779561162e-02,  8.477403517642956e-01,  2.200485504723629e+00,  0.000000000000000e+00, -9.877771180754930e-02,  1.188135982141331e+01
s65         ,  6.477994742971301e-01,  8.014197180566098e-01,  1.165370239202295e+00,  0.000000000000000e+00,  7.921322060326630e-02,  2.167772977768779e+01
s66         ,  1.102507059534665e+00,  6.258425376940595e-01,  1.158483177102872e-01,  0.000000000000000e+00,  6.803725157053883e-02,  2.594799228249747e+01
s67         , -2.689254974131806e-01, -3.211094421368608e-01,  6.087826393125254e-01,  0.000000000000000e+00, -1.988369118045880e-02,  3.483730382195514e+01
s68         ,  1.634793292022643e+00,  1.243527921550618e+00,  8.478663774211448e-01,  0.000000000000000e+00,  8.342343067882602e-02,  1.627561076935173e+01
s69         ,  3.008420412735001e-01,  6.016821553508849e-01,  1.216792949341766e+00,  0.000000000000000e+00, -8.820696908593106e-03,  2.095286683720055e+01
s70         ,  4.428344099007711e-01,  4.253977453361804e-01,  7.109947055358945e-01,  0.000000000000000e+00,  1.424079259842320e-02,  2.541475894059415e+01
s71         , -2.587880550234566e-02, -3.715567685353811e-01,  8.221043979813785e-01,  0.000000000000000e+00,  6.754938472415900e-02,  3.850809494200279e+01
s72         ,  3.320850724266521e-01,  7.376631818011989e-01,  1.558996581986250e+00,  0.000000000000000e+00,  2.275633506458724e-02,  1.953911977654488e+01
s73         , -1.001377721869569e+00, -3.944124547229220e-01, -1.875450510923052e-02,  0.000000000000000e+00, -1.782440327697836e-01,  3.102507558495053e+01
s74         ,  1.535377236435878e+00,  1.302957277083144e+00,  2.768015293402120e+00,  0.000000000000000e+00, -2.492008469316470e-02,  7.132959133299844e+00
s75         ,  2.223324131252060e-01,  7.102281849807790e-02,  5.106921389811596e-01,  0.000000000000000e+00, -1.476549431573559e-01,  2.452497818999154e+01
s76         , -5.720277382811452e-01, -4.899854331186506e-01,  7.157903769945418e-01,  0.000000000000000e+00,  1.740325794775135e-02,  3.844876114373157e+01
s77         , -1.197863875151751e+00, -6.404852567599830e-01,  7.920893561267581e-01,  0.000000000000000e+00, -4.586979129936886e-03,  3.955307059381702e+01
s78         , -1.436625202734528e+00, -7.441683035122595e-01,  1.136143913068326e+00,  0.000000000000000e+00,  2.676220348964975e-02,  4.150940186569686e+01
s79         ,  4.409066269069510e-01,  8.524858430298443e-01,  5.255053600753009e-01,  0.000000000000000e+00,  7.832634511504244e-02,  2.228069310987292e+01
s80         ,  6.309139277294878e-01,  2.561740993156718e-01,  4.277876525369874e-02,  0.000000000000000e+00, -2.865350118939010e-02,  2.754823367357141e+01
s81         , -1.685326208098238e+00, -4.739182032176106e-01,  3.328024063029552e-01,  0.000000000000000e+00, -4.150101729130136e-02,  3.673661207010799e+01
s82         , -1.663665661245249e-01, -2.197464080958604e-01,  3.715916883601796e-01,  0.000000000000000e+00,  1.760709452234012e-02,  3.537294877467535e+01
s83         , -1.321966357459877e+00, -7.346851369882899e-01,  1.114857162385815e+00,  0.000000000000000e+00,  1.100129219085911e-02,  4.080575476881359e+01
s84         ,  1.425519064192979e+00,  2.913136450202387e-01,  2.095694190511793e-01,  2.319177212916512e-02,  1.042824275361353e-01,  3.462715920804660e+01
s85         , -6.984731689207798e-01, -5.956097644574008e-01,  1.096305493160341e-02,  0.000000000000000e+00, -1.185528512550574e-01,  3.613103230758019e+01
s86         , -2.932580333118892e-01, -4.106694339214825e-01,  2.616317583383044e-01,  0.000000000000000e+00, -1.833417415807168e-01,  3.046040150559448e+01
s87         ,  3.346071912195332e-02, -1.672245805371952e-01,  8.726021994730097e-02,  0.000000000000000e+00, -1.519201262087351e-02,  3.395540476776370e+01
s88         , -7.344698336486584e-02, -9.272532827961655e-02,  2.917537806046718e-01,  4.349110043222637e-03, -1.520287137799115e-03,  3.351736572302669e+01
s89         ,  2.903456543575506e-01,  6.420709888279887e-01,  4.395054725191818e-01,  0.000000000000000e+00,  1.291630309521642e-01,  2.741691807060377e+01
s90         ,  3.160753830639385e-01,  6.693059015516889e-02,  1.925457715000533e-03,  0.000000000000000e+00,  2.204977825767912e-02,  3.228457403055110e+01
s91         ,  4.911838748491691e-01,  1.254439748315174e+00,  2.506535040898784e+00,  0.000000000000000e+00,  4.800421880404987e-02,  1.121834988317624e+01
s92         , -8.899315452749768e-01, -1.217116288098354e+00,  1.218425663981631e+00,  0.000000000000000e+00, -1.079011629842426e-01,  4.275598777334729e+01
s93         ,  8.806558878772817e-01, -2.960520792126609e-03,  5.004375330744072e-01,  0.000000000000000e+00, -6.506245175782238e-02,  2.881374006524410e+01
s94         ,  2.174850994919374e-01,  6.696666792354522e-01,  1.113022987932138e-01,  4.095000000000000e-02,  4.320965951230660e-03,  2.769435765513076e+01
s95         , -7.665153489308597e-01, -1.179048280012799e+00,  2.178645201161384e+00,  0.000000000000000e+00,  4.971330122950937e-03,  4.458440303515400e+01
s96         ,  5.275622810365228e-01,  5.217801509175679e-02,  7.513677700449918e-03,  0.000000000000000e+00,  7.120710367779670e-03,  3.189842329923541e+01
s97         ,  2.030602111680013e+00,  1.279992984023367e+00,  1.753320476645027e+00,  0.000000000000000e+00,  9.911978157802448e-02,  1.445116427604790e+01
s98         , -9.469867286116609e-01, -8.175179290349246e-01,  1.668995459953022e-01,  0.000000000000000e+00, -1.957623833276372e-01,  3.591959821776487e+01
s99         , -9.198822372946849e-01, -1.726378127741392e+00,  3.536759984221632e+00,  0.000000000000000e+00, -9.282162489601917e-02,  4.561108215745797e+01
s100        , -4.843791818667553e-01, -2.954963854899715e-01, -3.123813644735540e-03,  0.000000000000000e+00, -1.088685894687253e-01,  3.230266083348432e+01
s101        , -2.042448773263304e-01, -5.767880700997496e-02,  1.861003424644197e-01,  0.000000000000000e+00, -2.783549937789082e-02,  3.170597869501351e+01
s102        , -5.164158759195604e-01, -1.874217136171513e+00,  4.662075194697122e+00,  0.000000000000000e+00, -3.662439191657310e-02,  4.750169092313511e+01
s103        ,  1.172650799800637e-01,  9.681858186168295e-01,  1.569775737086617e-01,  3.305555555555555e-02, -5.120464187824589e-02,  2.028382257144604e+01
s104        , -1.768695959917696e+00, -1.702892970016020e+00,  2.958343012784995e+00,  0.000000000000000e+00, -7.447593389362359e-02,  4.722334925481643e+01
s105        ,  5.247327840013729e-01,  9.029297628438160e-02,  4.546165944331094e-01,  0.000000000000000e+00, -3.783435600427154e-03,  2.998579242677556e+01
s106        ,  5.297962102782025e-01,  9.942311086221722e-01,  2.441017336706484e+00,  0.000000000000000e+00,  3.726954715946251e-03,  1.330265627928035e+01
s107        ,  1.497385912477808e-01, -7.378789835224571e-01,  1.490528454018933e+00,  0.000000000000000e+00,  2.379895776558821e-02,  4.055267671055992e+01
s108        ,  4.406641357796892e-01,  4.622370649215570e-01,  2.003771305268941e+00,  0.000000000000000e+00, -5.163420154566389e-02,  1.957991830253679e+01
s109        , -6.596772585897818e-01, -4.027645301573979e-01,  5.767909588622272e-01,  0.000000000000000e+00, -9.691587494450357e-03,  3.645548364833910e+01
s110        ,  1.094420195469493e+00,  5.316108689751520e-01, -7.678558892168720e-02,  0.000000000000000e+00,  1.947373942589631e-01,  3.263078929611736e+01
