sample_id,T,E,ln_D
s1,500.0,0.4148104871669471,-15.755912113046147
s2,700.0,0.4148104871669471,-13.147010440931407
s3,900.0,0.4148104871669471,-11.466627597187363
s4,1100.0,0.4148104871669471,-10.531195380475284
s5,500.0,0.3422111929106982,-16.76053957577113
s6,700.0,0.3422111929106982,-14.731652485436395
s7,900.0,0.3422111929106982,-13.276395723264535
s8,1100.0,0.3422111929106982,-12.438154681887147
s9,500.0,0.3098184069643846,-14.695191396785987
s10,700.0,0.3098184069643846,-12.732762142626253
s11,900.0,0.3098184069643846,-11.56984372531678
s12,1100.0,0.3098184069643846,-10.74748491541494
s13,500.0,0.33613839969009623,-14.824906409440976
s14,700.0,0.33613839969009623,-12.990154934417026
s15,900.0,0.33613839969009623,-11.408136898088665
s16,1100.0,0.33613839969009623,-10.599318181984566
s17,500.0,0.36490794022980216,-16.61617250197141
s18,700.0,0.36490794022980216,-15.382376875468935
s19,900.0,0.36490794022980216,-13.045929190210451
s20,1100.0,0.36490794022980216,-12.062961642908816
s21,500.0,0.3407892375254205,-14.349206197546161
s22,700.0,0.3407892375254205,-12.099011537975464
s23,900.0,0.3407892375254205,-10.841187962298502
s24,1100.0,0.3407892375254205,-10.0323779965023
s25,500.0,0.34767667371959776,-16.503086890381628
s26,700.0,0.34767667371959776,-14.652454952547817
s27,900.0,0.34767667371959776,-13.209349485747108
s28,1100.0,0.34767667371959776,-12.006182412525359
s29,500.0,0.2806829385133619,-14.588913920328613
s30,700.0,0.2806829385133619,-13.113080308012025
s31,900.0,0.2806829385133619,-11.897814928189398
s32,1100.0,0.2806829385133619,-10.978932903637622
s33,500.0,0.3045902517658174,-16.017037557408223
s34,700.0,0.3045902517658174,-14.493304328395215
s35,900.0,0.3045902517658174,-12.95134400980532
s36,1100.0,0.3045902517658174,-12.191533017050611
s37,500.0,0.3094841454596282,-16.588117866644577
s38,700.0,0.3094841454596282,-14.60744563371568
s39,900.0,0.3094841454596282,-13.543207398936959
s40,1100.0,0.3094841454596282,-12.598982871127538
s41,500.0,0.35683137520963887,-15.063673362411775
s42,700.0,0.35683137520963887,-12.92327801429672
s43,900.0,0.35683137520963887,-11.444907325592647
s44,1100.0,0.35683137520963887,-10.545101923307842
s45,500.0,0.3734380360944447,-15.498210898800634
s46,700.0,0.3734380360944447,-13.030063069190115
s47,900.0,0.3734380360944447,-11.681892593448204
s48,1100.0,0.3734380360944447,-10.752073121523507
s49,500.0,0.32890301821612783,-14.531482963711055
s50,700.0,0.32890301821612783,-12.273888674281501
s51,900.0,0.32890301821612783,-11.088753796626417
s52,1100.0,0.32890301821612783,-10.384259893486323
s53,500.0,0.3166502385491129,-14.651697480634432
s54,700.0,0.3166502385491129,-12.814526293208994
s55,900.0,0.3166502385491129,-11.449428635621194
s56,1100.0,0.3166502385491129,-10.646064425580263
s57,500.0,0.37615745986373555,-15.811978797280311
s58,700.0,0.37615745986373555,-13.499232385184198
s59,900.0,0.37615745986373555,-12.05519609706438
s60,1100.0,0.37615745986373555,-11.008286757009666
s61,500.0,0.3301976321696667,-16.193155002158832
s62,700.0,0.3301976321696667,-14.622271004968917
s63,900.0,0.3301976321696667,-13.074572425493812
s64,1100.0,0.3301976321696667,-11.944378634039126
s65,500.0,0.31875434318967527,-16.84922037807049
s66,700.0,0.31875434318967527,-15.452774686067952
s67,900.0,0.31875434318967527,-14.022489608292775
s68,1100.0,0.31875434318967527,-12.663431529287703
s69,500.0,0.32893839491502236,-14.265361830187556
s70,700.0,0.32893839491502236,-12.27696148988738
s71,900.0,0.32893839491502236,-10.940768579337366
s72,1100.0,0.32893839491502236,-10.09149526642792
s73,500.0,0.3407396330997306,-16.067514133853038
s74,700.0,0.3407396330997306,-14.235967963477183
s75,900.0,0.3407396330997306,-12.639144704369706
s76,1100.0,0.3407396330997306,-11.76874332211041
s77,500.0,0.32644688977586744,-15.024453484498173
s78,700.0,0.32644688977586744,-12.82958977816056
s79,900.0,0.32644688977586744,-11.731951110792734
s80,1100.0,0.32644688977586744,-10.845920151359234
s81,500.0,0.36764581741548635,-16.358899432754498
s82,700.0,0.36764581741548635,-13.984109645500018
s83,900.0,0.36764581741548635,-12.707520439928581
s84,1100.0,0.36764581741548635,-11.635846927264346
s85,500.0,0.3588738706394696,-16.098593606896927
s86,700.0,0.3588738706394696,-14.259372964744726
s87,900.0,0.3588738706394696,-12.644857355955041
s88,1100.0,0.3588738706394696,-11.497145968371719
s89,500.0,0.32285019314284424,-14.256990563905111
s90,700.0,0.32285019314284424,-12.205575637404937
s91,900.0,0.32285019314284424,-10.925837135513019
s92,1100.0,0.32285019314284424,-10.183487235929379
s93,500.0,0.45638255434016484,-17.833692996875204
s94,700.0,0.45638255434016484,-14.977219796557094
s95,900.0,0.45638255434016484,-12.996263117401467
s96,1100.0,0.45638255434016484,-12.152934513604015
s97,500.0,0.36962551242516517,-14.37292967204356
s98,700.0,0.36962551242516517,-12.480330581033177
s99,900.0,0.36962551242516517,-10.600166041916369
s100,1100.0,0.36962551242516517,-9.753325940300352
s101,500.0,0.35091668349212374,-15.07280660180631
s102,700.0,0.35091668349212374,-12.759990442701747
s103,900.0,0.35091668349212374,-11.511097086304462
s104,1100.0,0.35091668349212374,-10.60029839038564
s105,500.0,0.36667270797750134,-17.27846250712225
s106,700.0,0.36667270797750134,-14.633354925544943
s107,900.0,0.36667270797750134,-13.512779834648935
s108,1100.0,0.36667270797750134,-12.596085613964936
s109,500.0,0.3097557780126785,-13.978379869808803
s110,700.0,0.3097557780126785,-12.014031521972395
s111,900.0,0.3097557780126785,-10.7199436958765
s112,1100.0,0.3097557780126785,-10.105231924918035
s113,500.0,0.3663836241971582,-16.428931683746526
s114,700.0,0.3663836241971582,-14.515347917740181
s115,900.0,0.3663836241971582,-12.851243151719421
s116,1100.0,0.3663836241971582,-11.754576833707578
s117,500.0,0.35084039286020974,-16.82966437283499
s118,700.0,0.35084039286020974,-14.882876001711825
s119,900.0,0.35084039286020974,-13.311866127133934
s120,1100.0,0.35084039286020974,-12.38777283657143
s121,500.0,0.2984704895511851,-14.207463675360263
s122,700.0,0.2984704895511851,-12.28252156553352
s123,900.0,0.2984704895511851,-11.169558698107398
s124,1100.0,0.2984704895511851,-10.414293243903604
s125,500.0,0.3807178161704293,-16.933305324103753
s126,700.0,0.3807178161704293,-14.702578044941063
