sample_id,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,E_T
s1,2.4151928450639395,19.643417918799607,0.30060764243645416,30.092044471352615,3.2705856979734174,2.779513888888889,0.0,0.0,0.0,0.4583333333333333,0.0625,0.15625,0.0,0.0,0.1909722222222222,0.0,0.0,0.13194444444444445,0.0,9.627351630837904
s2,2.4321412527232416,14.683504906748924,0.5683016740813543,28.80225962477673,1.1600788042368413,2.3348039215686276,0.0,0.0,0.06372549019607843,0.44607843137254904,0.0,0.22549019607843138,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,7.942391979192743
s3,2.0094176390730554,23.491188618073636,0.35714956010464505,41.988187529942635,3.717973539259104,2.1104405286343613,0.0,0.048458149779735685,0.5110132158590308,0.0,0.0,0.19823788546255505,0.0,0.2422907488986784,0.0,0.0,0.0,0.0,0.0,7.1905866361371
s4,2.1288118859529965,22.30884821351325,0.5201312672258233,44.180268030683116,12.327698450489503,1.9253465346534653,0.0,0.0,0.504950495049505,0.0,0.0,0.36633663366336633,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0,7.801448301236565
s5,2.260671135463873,12.049710598220024,0.4189792998568869,21.84622327969971,1.6353067100442658,2.6404035874439464,0.24663677130044842,0.0,0.0,0.5515695067264574,0.0,0.14798206278026907,0.0,0.053811659192825115,0.0,0.0,0.0,0.0,0.0,8.469161610331188
s6,2.49990534969722,25.551425798391406,0.27513601499610746,38.71823194960332,4.267994708896452,2.662188552188552,0.0,0.0,0.0,0.367003367003367,0.0,0.16835016835016836,0.0,0.0,0.1717171717171717,0.0,0.0,0.29292929292929293,0.0,7.909389765119206
s7,3.1353062291862637,13.658071748103355,0.8644171270493188,30.1135798783484,1.698585545733467,2.1982513661202185,0.0,0.0,0.0,0.453551912568306,0.0,0.4262295081967213,0.0,0.0,0.0,0.0,0.12021857923497267,0.0,0.0,8.0692405213746
s8,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,6.51438049288622
s9,2.4481975965981113,14.6232388446649,0.35779754372575556,24.151929962801393,1.5315364826112678,2.7164843750000003,0.0,0.0,0.0,0.60546875,0.0,0.12890625,0.0,0.21484375,0.01953125,0.0,0.03125,0.0,0.0,7.069246192646957
s10,2.4718965170118077,13.391027682504252,0.5008182386663784,24.018827430523526,1.458522553591289,2.5629646017699113,0.030973451327433628,0.0,0.0,0.5575221238938053,0.0,0.1902654867256637,0.13716814159292035,0.0,0.084070796460177,0.0,0.0,0.0,0.0,7.182828748758404
s11,2.2128594723193835,23.40223503869781,0.4481410237242729,44.906991560744395,4.535830599021623,1.9782159624413147,0.0,0.0,0.5211267605633803,0.0,0.0,0.29107981220657275,0.0,0.13145539906103287,0.0,0.0,0.056338028169014086,0.0,0.0,8.281712320055306
s12,2.007450295742377,22.074697226122822,0.40754850019263256,42.89988328850284,3.1907482171958668,2.017184466019417,0.1262135922330097,0.0,0.5145631067961165,0.0,0.0,0.22330097087378642,0.11650485436893204,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,8.667136914414131
s13,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,7.633522070371748
s14,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,7.349146862996486
s15,2.034557338851201,21.906261638475762,0.5136918428473205,46.799740773107295,2.670055019176033,1.871808510638298,0.07446808510638298,0.0,0.46808510638297873,0.0,0.0,0.32978723404255317,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,8.730252119237013
s16,2.4388546100836814,13.86284772250298,0.5033684147589088,24.082903342742384,1.959141103983971,2.605378151260504,0.0,0.0,0.0,0.5756302521008403,0.0,0.226890756302521,0.0,0.06302521008403361,0.13445378151260504,0.0,0.0,0.0,0.0,7.663568812540761
s17,3.2427040562865965,14.424743234002838,0.4478423673743901,24.728131258290595,1.6477422247049451,2.656375,0.0,0.0,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.07083333333333333,0.0,0.0,0.17916666666666667,0.0,0.0,7.397981103859396
s18,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,7.634343129458566
s19,2.2126388525711937,18.776666740010743,0.3874720291623459,34.042249455466646,1.5260726893388712,2.288430493273543,0.0,0.0,0.28699551569506726,0.2645739910313901,0.0,0.13901345291479822,0.273542600896861,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,7.9082384942055315
s20,3.0804153254518627,21.992230182506944,0.564588685908046,43.55324016535693,3.080712559541102,2.1812871287128712,0.0,0.0,0.0,0.31683168316831684,0.0,0.38613861386138615,0.0,0.039603960396039604,0.0,0.034653465346534656,0.06930693069306931,0.0,0.15346534653465346,7.576517696383075
s21,3.3535551196986604,18.18339103188736,0.5931938616260334,35.32773114766685,2.2558572495444382,2.317205882352941,0.0,0.0,0.0,0.4264705882352941,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.15196078431372548,0.0,0.08823529411764706,8.53270510116396
s22,2.3048334946930074,12.230599970697183,0.6848284116198428,25.524730373628902,1.6199816446506081,2.3755208333333333,0.21875,0.0,0.0,0.4791666666666667,0.0,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.329116670513413
s23,2.2843124384766815,23.351007304132338,0.40188371926576333,41.921493427891114,2.1901625140482865,2.161184210526316,0.0,0.0,0.4780701754385965,0.0,0.07894736842105263,0.24561403508771928,0.0,0.10526315789473684,0.0,0.0,0.09210526315789473,0.0,0.0,7.493041833870397
s24,2.485825054997347,13.547584656148526,0.598779141557712,25.40172123027848,1.4172196767607224,2.462666666666667,0.0,0.0,0.0,0.5333333333333333,0.0,0.26666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10.592199244577964
s25,2.7257278307960866,25.209241180318614,0.2969150796641382,41.41518193909483,4.647120503637297,2.230632411067193,0.0,0.0,0.6086956521739131,0.0,0.0,0.1067193675889328,0.02766798418972332,0.0,0.0,0.0,0.25691699604743085,0.0,0.0,8.578651914394655
s26,1.9970055588374238,23.281675799917,0.3821787932646424,42.87708626484716,4.534373757047304,2.0586425339366516,0.06334841628959276,0.0,0.5429864253393665,0.0,0.0,0.22624434389140272,0.0,0.167420814479638,0.0,0.0,0.0,0.0,0.0,8.14443802561442
s27,3.1923898564626625,14.049175149004956,0.62497330319703,26.927585702259528,1.5070043606634331,2.440724637681159,0.0,0.0,0.0,0.5217391304347826,0.0,0.27053140096618356,0.057971014492753624,0.0,0.0,0.0,0.1497584541062802,0.0,0.0,8.510120168948882
s28,2.5597821385877046,27.482270337881783,0.40343036876208066,50.34567171141371,6.597252450260268,2.0155045871559634,0.0,0.0,0.43119266055045874,0.0,0.0,0.2798165137614679,0.0,0.11467889908256881,0.0,0.0,0.05963302752293578,0.0,0.11467889908256881,7.189133078527061
s29,2.2414794697114684,11.656867642365096,0.4811842642291061,22.064785180191066,1.561534524095354,2.5806603773584906,0.29245283018867924,0.0,0.0,0.5283018867924528,0.0,0.1792452830188679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.503410813013494
s30,2.901841611301404,13.884544651612648,0.5417499097671322,24.62337215559429,1.9805886120076732,2.575418502202643,0.0,0.0,0.0,0.5638766519823789,0.0,0.23788546255506607,0.0,0.013215859030837005,0.09691629955947137,0.0,0.0881057268722467,0.0,0.0,8.142667393573289
s31,2.136514525480516,21.91694753127767,0.4059734764653831,42.413352167009506,5.697701118014736,2.075454545454545,0.23923444976076555,0.0,0.4449760765550239,0.0,0.0,0.24401913875598086,0.0,0.0,0.0,0.0,0.0,0.07177033492822966,0.0,6.927212409606008
s32,2.3687465397468763,14.22044457643112,0.3868922349702348,23.33611417670749,1.8541945671441944,2.723125,0.0,0.0,0.0,0.609375,0.0,0.15625,0.0,0.109375,0.125,0.0,0.0,0.0,0.0,8.836093594042303
s33,2.0966236863774568,23.124865077131044,0.40063495146308914,41.77394981675282,3.1635440856038537,2.0663392857142857,0.0,0.0,0.5446428571428571,0.0,0.008928571428571428,0.23214285714285715,0.10267857142857142,0.0,0.11160714285714286,0.0,0.0,0.0,0.0,7.781799073840278
s34,2.4104141304890914,13.921704451767411,0.4667252846040244,24.362982790592962,1.3893199244784074,2.5952380952380953,0.0,0.0,0.0,0.5714285714285714,0.0,0.19047619047619047,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,8.75247391945513
s35,2.283156195533974,18.41229353050768,0.5312356060722699,37.98746875767897,2.6962556756369143,2.1766326530612248,0.18877551020408162,0.0,0.17857142857142858,0.2602040816326531,0.0,0.3163265306122449,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.04591836734693878,7.714609048750617
s36,3.2313151666733817,34.50144951700675,0.26587447522567326,51.579667027925126,9.154625545003947,2.310401337792642,0.0,0.0,0.3779264214046823,0.0,0.0,0.10033444816053512,0.0,0.0,0.023411371237458192,0.0,0.20735785953177258,0.0,0.2909698996655518,6.25641499796306
s37,2.5928576544141286,13.1302861877286,0.9214759329476807,30.234211616480327,1.3871628975342176,2.1198857142857146,0.0,0.0,0.0,0.4342857142857143,0.0,0.44571428571428573,0.05714285714285714,0.06285714285714286,0.0,0.0,0.0,0.0,0.0,8.317250646523553
s38,1.9471208257231176,25.399061749779868,0.28694940369760596,42.38783815195052,3.7225632269393074,2.1765873015873014,0.0,0.0,0.5992063492063492,0.0,0.0,0.1349206349206349,0.0,0.26587301587301587,0.0,0.0,0.0,0.0,0.0,7.621094284411799
s39,2.057018658258049,21.99509347817763,0.5127845248878043,45.64573162675577,3.92294389402469,1.898652849740933,0.06217616580310881,0.0,0.48186528497409326,0.0,0.0,0.34196891191709844,0.06735751295336788,0.0,0.046632124352331605,0.0,0.0,0.0,0.0,7.863121891718822
s40,2.700308774510153,15.897638238749733,0.5379101201545535,28.333693957771686,2.54411684819136,2.499049773755656,0.0,0.0,0.0,0.5113122171945701,0.0,0.28054298642533937,0.0,0.0,0.1583710407239819,0.0,0.0,0.0,0.049773755656108594,8.588951308381437
s41,2.223086149609455,22.140543482377474,0.38299029227916903,37.88839483251921,2.6666365720828478,2.241522633744856,0.03292181069958848,0.0,0.5020576131687243,0.0,0.0823045267489712,0.2222222222222222,0.0,0.0,0.12345679012345678,0.0,0.037037037037037035,0.0,0.0,8.466791260314862
s42,2.4581314964070113,26.36233221930859,0.46477691356464473,51.95682951960822,2.73909007802838,1.953793103448276,0.0,0.0,0.28078817733990147,0.0,0.0,0.3448275862068966,0.1477832512315271,0.0,0.0,0.0,0.0,0.22660098522167488,0.0,6.965545209929878
s43,1.7006634752158178,25.3023973615195,0.24710966019850836,42.170662269199134,3.784766212238286,2.3701999999999996,0.276,0.0,0.352,0.0,0.0,0.124,0.0,0.0,0.0,0.248,0.0,0.0,0.0,5.742710398507013
